1,ฝ่ายอำนวยการ หมายความถึง............,01ผู้ที่ทำหน้าที่ช่วยเหลือผู้บังคับบัญชาให้สามารถปฏิบัติภารกิจได้อย่างสมบูรณ์,02ผู้ที่ทำหน้าที่ตัดสินใจสั่งการแทนผู้บังคับบัญชา,03ผู้ให้ข้อเสนอแนะต่อผู้บังคับบัญชาในการตกลงใจในการปฏิบัติงานในภารกิจใด ๆ,14ข้อ 1. และ 3. ถูก
2,สายงานหลักของฝ่ายอำนวยการประกอบไปด้วย,01งานกำลังพล งานยุทธการ งานแผนงานและยุทธศาสตร์ งานส่งกำลังบำรุง และงานชุมชนมวลชนสัมพันธ์,12งานกำลังพล งานข่าว งานแผนงานและยุทธศาสตร์ งานส่งกำลังบำรุง และงานชุมชนมวลชนสัมพันธ์,03งานกำลังพล งานข่าว งานแผนงานและยุทธศาสตร์ งานสวัสดิการ และงานชุมชนมวลชนสัมพันธ์,04งานกำลังพล งานยุทธการ งานแผนงานและยุทธศาสตร์ งานส่งกำลังบำรุง และงานประชาสัมพันธ์
3,พันธกิจของฝ่ายอำนวยการตำรวจ ประกอบด้วย,11การให้ข้อมูลข่าวสาร การประมาณการ (การวิเคราะห์ข้อมูลข่าวสาร) การให้ข้อเสนอแนะ การทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่ง,02การให้ข้อมูลข่าวสาร การให้ข้อเสนอแนะ การทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่ง,03การให้ข้อมูลข่าวสาร การประมาณการ (การวิเคราะห์ข้อมูลข่าวสาร) การให้ข้อเสนอแนะ การทำแผน/คำสั่ง และการประเมินผลการปฏิบัติงาน,04การให้ข้อมูลข่าวสาร การประมาณการ (การวิเคราะห์ข้อมูลข่าวสาร) การให้ข้อเสนอแนะ และการกำกับดูแลการปฏิบัติตามแผน/คำสั่ง
4,ในการปฏิบัติหน้าที่ของฝ่ายอำนวยการ ข้อใดไม่ถูกต้อง,01ฝ่ายอำนวยการจะต้องเป็นผู้ให้ข้อมูลข่าวสารในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ อย่างครบถ้วนสมบูรณ์ต่อผู้บังคับบัญชา,12ในการวิเคราะห์ข้อมูลข่าวสารของฝ่ายอำนวยการ จะต้องได้รับคำสั่งของผู้บังคับบัญชาให้ดำเนินการเสียก่อน,03การให้ข้อเสนอแนะของฝ่ายอำนวยการ มุ่งเน้นในการให้คำแนะนำต่อผู้บังคับบัญชาในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ ไม่เป็นการบีบบังคับผู้บังคับบัญชาให้ตกลงใจกระทำการอย่างหนึ่งอย่างใด โดยไม่สามารถเลือกหนทางปฏิบัติอื่นได้,04ในกรณีที่หน่วยปฏิบัติตามแผน/คำสั่งเกิดมีปัญหาขัดข้องในการปฏิบัติ ฝ่ายอำนวยการสามารถเสนอข้อมูลข่าวสารให้กับผู้บังคับบัญชาทราบและสั่งการแก้ไขปัญหาได้
5,ข้อใดถือว่าเป็นการทำงานอย่างสมบูรณ์ของฝ่ายอำนวยการ,01การเสนองานให้แก่ผู้บังคับบัญชาจะเป็นการที่จะให้ผู้บังคับบัญชาให้ข้อตกลงใจและสั่งการในรายละเอียดทุกเรื่อง,02การจัดทำเอกสารของฝ่ายอำนวยการเสนอต่อผู้บังคับบัญชา หากเป็นกรณีที่จะต้องเสนอให้ผู้บังคับบัญชาสั่งการเป็น บันทึกรายงาน คำสั่ง ระเบียบ ข้อบังคับ ประกาศ วิทยุหรือหนังสือสั่งการใด ๆ จะต้องร่างหนังสือเสนอเพื่อสั่งการให้จัดทำหนังสือดังกล่าวครั้งหนึ่งแล้วกลับมาจัดทำเสนอหนังสือเสนอย้อนกลับไปให้ผู้บังคับบัญชาลงนามอีกครั้งหนึ่ง,13ในรายงานที่สมบูรณ์ของฝ่ายอำนวยการ จะต้องกล่าวถึงข้อเท็จจริงที่สำคัญอย่างรวบรัดและชัดเจนแสดงข้อพิจารณาถึงแนวทางการปฏิบัติในเรื่องนั้น ๆ ทุกแนวทางที่สามารถปฏิบัติได้ รวมทั้งข้อดีข้อเสียของแต่ละแนวทาง และความคิดเห็นของฝ่ายอำนวยการในเรื่องนั้น ๆ ด้วย,04ถูกทุกข้อ
6,การกำกับดูแลของฝ่ายอำนวยการ เป็นหน้าที่ของฝ่ายอำนวยการ ที่จะต้องติดตามกำกับดูแลการปฏิบัติตามแผน/คำสั่งของผู้บังคับบัญชา โดยเครื่องมือที่ใช้ในการกำกับดูแลของฝ่ายอำนวยการ ได้แก่การวิเคราะห์รายงาน การเยี่ยมเยียน และการตรวจของฝ่ายอำนวยการ ข้อใดเป็นแนวทางการกำกับดูแลของฝ่ายอำนวยการที่ถูกต้อง,01การวิเคราะห์และประเมินค่ารายงานข้อมูลข่าวสาร จะช่วยให้ฝ่ายอำนวยการทราบถึงสถานภาพ และสถานการณ์ในแต่ละเรื่อง โดยจะต้องให้ความสำคัญกับความครบถ้วนสมบูรณ์ของข้อมูลข่าวสารมากกว่าเรื่องความทันต่อเหตุการณ์ของข้อมูลข่าวสารด้วย,12ในการเยี่ยมเยียนของฝ่ายอำนวยการ ซึ่งเป็นวิธีการติดตามกำกับดูแลการปฏิบัติงานวิธีหนึ่ง ฝ่ายอำนวยการจะต้องพึงระลึกอยู่เสมอว่าความรับผิดชอบในการปฏิบัติการเป็นความรับผิดชอบของผู้บังคับหน่วยปฏิบัติการ ฝ่ายอำนวยการจะต้องไม่แทรกแซง หรือวิพากษ์วิจารณ์การปฏิบัติงานของหน่วยงานนั้น ๆ,03ในการตรวจของฝ่ายอำนวยการ ก่อนที่จะดำเนินการตรวจ ฝ่ายอำนวยการไม่จำเป็นจะต้องแจ้งลักษณะและความมุ่งหมายของการตรวจให้กับหน่วยปฏิบัติการที่รับการตรวจทราบล่วงหน้า,04ในการตรวจของฝ่ายอำนวยการ ก่อนเสร็จสิ้นการตรวจฝ่ายอำนวยการสามารถแจ้งผลการตรวจอย่างไม่เป็นทางการให้กับหน่วยปฏิบัติการทราบ โดยไม่ต้องรายงานผลการตรวจอย่างเป็นทางการก็ได้เพื่อเป็นการประหยัดเวลาในการปฏิบัติงาน
7,ในเรื่องแนวทางการประสานงานของฝ่ายอำนวยการ ข้อใดไม่ถูกต้อง,01การประสานงานภายในของฝ่ายอำนวยการช่วยทำให้การทำงานของฝ่ายอำนวยการตามแผน/คำสั่งของผู้บังคับบัญชา เป็นไปอย่างสอดคล้องกัน และเป็นการหลีกเลี่ยงข้อขัดแย้งและการปฏิบัติงานซ้ำซ้อนกัน,02ฝ่ายอำนวยการจะต้องแก้ไขปัญหาข้อขัดแย้งระหว่างฝ่ายอำนวยการฝ่ายต่าง ๆ ที่อาจเกิดขึ้น จากการปฏิบัติตามแผน/คำสั่งของผู้บังคับบัญชา,03หัวหน้าฝ่ายอำนวยการ หรือรองผู้บังคับหน่วย (ในกรณีที่ไม่มีหัวหน้าฝ่ายอำนวยการ) จะต้องเป็นผู้กำหนดระเบียบหรือแนวทางในการประสานงานของฝ่ายอำนวยการ,14แนวทางปฏิบัติในการประสานงาน มีเพียง 2 วิธี ได้แก่ การแจกจ่ายข้อมูลข่าวสารสำคัญ และ การติดต่อประสานงานโดยตรง
8,ข้อใดถูกต้อง ตามแนวทางการวิเคราะห์ข้อมูลข่าวสารของฝ่ายอำนวยการ,01การวิเคราะห์ข้อมูลข่าวสาร เป็นหน้าที่ตามปกติของฝ่ายอำนวยการ โดยต้องมีการสั่งการของผู้บังคับบัญชาให้ดำเนินการก่อน,02การวิเคราะห์ข้อมูลข่าวสารมีวัตถุประสงค์ เพื่อตรวจสอบว่าจากข้อมูลข่าวสารที่ได้รับนั้นมีผลกระทบใดเกิดขึ้นต่องานทางฝ่ายอำนวยการของตนเป็นหลัก,13การวิเคราะห์หนทางปฏิบัติที่เหมาะสม เพื่อหาแนวทางในการแก้ปัญหา หรือปฏิบัติภารกิจให้สมบูรณ์ เป็นส่วนหนึ่งของจัดทำข้อพิจารณาของฝ่ายอำนวยการ,04การวิเคราะห์ข้อมูลข่าวสารของฝ่ายอำนวยการ จะดำเนินการเป็นลายลักษณ์อักษรเพียงอย่างเดียว ไม่สามารถดำเนินการด้วยวาจาได้
9,ข้อใดถือว่าเป็นการรายงานและสรุปผลการปฏิบัติงาน ประเภทรายงานและสรุปผลงานเป็นครั้งคราว,01รายงานประจำปี,12การรายงานเกี่ยวกับการชุมนุมประท้วง,03สรุปผลการระดมกวาดล้างอาชญากรรมในเทศกาลต่าง ๆ,04ถูกทุกข้อ
10,ข้อใดเรียงลำดับการเสนอข้อพิจารณาของฝ่ายอำนวยการ ได้ถูกต้องที่สุด,01เรื่องเดิม ข้อกฎหมายหรือระเบียบ ข้อเท็จจริง ข้อพิจารณา ข้อเสนอแนะ,02เรื่องเดิม ข้อเท็จจริง ข้อพิจารณา ข้อกฎหมายหรือระเบียบ ข้อเสนอแนะ,03เรื่องเดิม ข้อพิจารณา ข้อเท็จจริง ข้อกฎหมายหรือระเบียบ ข้อเสนอแนะ,14เรื่องเดิม ข้อเท็จจริง ข้อกฎหมายหรือระเบียบ ข้อพิจารณา ข้อเสนอแนะ
11,"ในการจัดกลุ่มงานของตำรวจ ""ฝ่ายอำนวยการ"" ถือว่าเป็นกลุ่มงานลักษณะใด",11กลุ่มงานด้านการบริหาร,02กลุ่มงานด้านการปฏิบัติการ,03กลุ่มงานด้านกิจการพิเศษ,04กลุ่มงานด้านธุรการ
12,ตำรวจได้นำแนวทางในการดำเนินงานของฝ่ายอำนวยการของส่วนราชการใด มาประยุกต์ใช้,01กระทรวงมหาดไทย,12ทหาร,03กรมการปกครอง,04ถูกทุกข้อ
13,ข้อใดถูกต้องที่สุด,01การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับขนาดของพื้นที่ที่รับผิดชอบของแต่ละหน่วยงาน ,12การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ มีความแตกต่างกันออกไป โดยขึ้นอยู่กับลักษณะของงาน และความจำเป็นเหมาะสมของแต่ละหน่วยงาน,03การจัดงานฝ่ายอำนวยการของสำนักงานตำรวจแห่งชาติในระดับต่างๆ เป็นไปในลักษณะเดียวกัน ,04การจัดงานฝ่ายอำนวยการของทุกกองบัญชาการเป็นไปในลักษณะเดียวกัน 
14,ผู้ที่รับผิดชอบให้ความช่วยเหลือผู้บังคับบัญชาด้วยการปฏิบัติงานในหน้าที่ที่ต้องการความชำนาญ,01ฝ่ายอำนวยการหลัก,02ฝ่ายอำนวยการประสานงาน,13ฝ่ายอำนวยการพิเศษ,04ฝ่ายอำนวยการประจำตัว
15,ฝ่ายอำนวยการประจำตัว มีหน้าที่ความรับผิดชอบในเรื่องใด,01ช่วยเหลือในการจัดตารางเวลาการปฏิบัติราชการให้แก่ผู้บังคับบัญชา,02ให้คำแนะนำแก่ผู้บังคับบัญชาในส่วนที่เกี่ยวกับงานด้านเทคนิคต่างๆ,03การปฏิบัติงานด้านธุรการของผู้บังคับบัญชา,14ถูกทั้งข้อ 1. และ 3.
16,ข้อใดเป็นแนวทางในการให้ข้อมูลข่าวสารของฝ่ายอำนวยการ ที่ถูกต้อง ,01รวบรวมข้อมูลข่าวสารที่มีอยู่ในแต่ละงาน และกำหนดให้มีระบบรายงานข้อมูลข่าวสารในแต่ละเรื่อง ให้สามารถทราบข้อมูลข่าวสารที่ถูกต้อง และทันสมัยอยู่ตลอดเวลา,02จัดระเบียบของข้อมูลข่าวสาร และประเมินค่าความถูกของข้อมูลข่าวสารที่อาจมีความเปลี่ยนแปลงไปจากข้อเท็จจริง หรืออาจมีการเปลี่ยนแปลงไปตามห้วงระยะเวลา,03การเสนอข้อมูลข่าวสารให้กับผู้บังคับบัญชา จะต้องดำเนินการอย่างรวดเร็วและสมบูรณ์ รวมทั้งจะต้องมีการประสานข้อมูลข่าวสารที่มีอยู่และได้รับมากับฝ่ายอำนวยการอื่น ๆ ที่เกี่ยวข้อง หรืออาจมีผลกระทบถึง,14ถูกทุกข้อ
17,การสรุปผลการวิเคราะห์ข้อมูลข่าวสารให้กับผู้บังคับบัญชา จะต้องมีเนื้อหาสาระที่ครบคลุมถึง,01ข้อสรุปเกี่ยวกับปัจจัยหรือข้อมูลที่สำคัญที่อาจจะมีผลกระทบต่อการปฏิบัติงาน ,02สรุปผลการวิเคราะห์ของฝ่ายอำนวยการ ในการใช้ทรัพยากรที่มีอยู่เพื่อปฏิบัติงานในภารกิจนั้น ๆ โดยจะมีผลเสีย หรือจะมีผลกระทบที่เกิดขึ้นตามมาน้อยที่สุด และสามารถบรรลุวัตถุประสงค์ที่ต้องการได้อย่างสมบูรณ์ที่สุด,13ถูกทั้งข้อ 1. และ 2.,04ผิดทั้งข้อ 1. และ 2.
18,ข้อใดคือลักษณะในการให้ข้อเสนอแนะของฝ่ายอำนวยการ ที่ถูกต้อง ,11ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติที่ฝ่ายอำนวยการพิจารณาเห็นว่าเป็นแนวทางการปฏิบัติที่ถูกต้องและเหมาะสมที่สุด,02มุ่งเน้นในการให้คำแนะนำต่อผู้บังคับบัญชาในส่วนที่เกี่ยวข้องกับงานในหน้าที่ของฝ่ายอำนวยการนั้น ๆ เพื่อชักจูงผู้บังคับบัญชาให้ตกลงใจกระทำการอย่างหนึ่งอย่างใดตามที่ฝ่ายอำนวยการต้องการ,03การให้ข้อเสนอแนะของฝ่ายอำนวยการยังรวมถึงการให้ข้อเสนอกับฝ่ายอำนวยการอื่น ๆ แต่ไม่รวมถึงหน่วยงานอื่นที่เกี่ยวข้องในการปฏิบัติงาน,04ฝ่ายอำนวยการจะต้องวิเคราะห์แนวทางปฏิบัติ ตลอดจนผลกระทบที่จะเกิดตามมาจากการปฏิบัติ ให้ผู้บังคับบัญชาทราบ และให้ข้อเสนอในแนวทางการปฏิบัติให้มากที่สุดเท่าที่ฝ่ายอำนวยการจะคิดได้ 
19,ข้อใดเป็นแนวทางในการทำแผน/คำสั่ง และการกำกับดูแลการปฏิบัติตามแผน/คำสั่งของฝ่ายอำนวยการ ที่ถูกต้อง ,01ฝ่ายอำนวยการแต่ละฝ่ายจะต้องแปลงเจตนารมณ์ของผู้บังคับบัญชาที่เกี่ยวข้องในสายงานของตน เสนอให้หัวหน้าฝ่ายอำนวยการเป็นผู้พิจารณาลงนามประกาศใช้ให้ทันต่อสถานการณ์,12การจัดทำแผน/คำสั่งจะต้องมีการประสานงานระหว่างฝ่ายอำนวยการต่าง ๆ อย่างใกล้ชิด เพื่อให้แนวทางการปฏิบัติตามแผน/คำสั่งเกิดความสอดคล้องกัน,03กรณีที่หน่วยปฏิบัติตามแผน/คำสั่งเกิดมีปัญหาขัดข้องในการปฏิบัติ ฝ่ายอำนวยการต้องสั่งการแก้ไขปัญหาให้เท่าทันต่อสถานการณ์,04ฝ่ายอำนวยการจะต้องพึงระลึกอยู่เสมอว่าความรับผิดชอบในการปฏิบัติการเป็นความรับผิดชอบของทั้งผู้บังคับหน่วยปฏิบัติการและฝ่ายอำนวยการ ดังนั้นฝ่ายอำนวยการจะต้องเข้าร่วมลงมือปฏิบัติตามแผนตลอดการดำเนินการตามแผน 
