1,เหตุใด งานการข่าวจึงมีคุณลักษณะพิเศษกว่างานอำนวยการสายงานอื่น,1นำข้อมูลข่าวสาร ไปเป็นข้อมูลในการกำหนดแนวทางของตนเอง,2จัดหาข้อมูลข่าวสารเฉพาะของตนเองแตกต่างจากสายงานอื่นๆ,3เป็นงานที่ไม่มีกฎเกณฑ์แน่นอน ขึ้นอยู่กับการใช้ดุลยพินิจของผู้ปฏิบัติ,4ถูกทุกข้อ,4
2,งานหลักของการข่าวที่จะต้องจัดหาข้อมูลของฝ่ายตรงข้ามในเรื่องจำนวนกำลัง อยู่ในส่วนใดของงานการข่าว,1การผลิตข่าวกรอง,2การใช้การกระจายข่าวสาร,3การต่อต้านข่าวกรอง,4การปฏิบัติการข่าวสาร,1
3,การผลิตข่าวกรอง ควรประกอบไปด้วยเนื้อหาใดบ้าง,1เรื่องของฝ่ายตรงข้าม,2การจัดหรือประกอบกำลัง,3การวางกำลัง,4ถูกทุกข้อ,4
4,การใช้การกระจายข่าวสารและข่าวกรอง มีวัตถุประสงค์เพื่ออะไร,1รายงานให้ผู้บังคับบัญชา,2นำไปให้ฝ่ายอำนวยการต่างๆ ใช้ประโยชน์,3ป้องกันการจารกรรมข่าวสาร,4จัดการฝ่ายตรงข้าม,4
5,การก่อวินาศกรรม สามารถป้องกันได้โดยวิธีการทางการข่าวแบบใด,1การต่อต้านข่าวกรอง,2การหาข่าว,3การสืบสวน,4การสอบสวนด้านการข่าว,1
6,ข้อใดไม่ใช่ข่าวสารในเรื่องของพื้นที่ปฏิบัติการ,1ภูมิประเทศ,2ข้อมูลฝ่ายตรงข้าม,3ลมฟ้าอากาศ,4สภาวะทางการเมือง,4
7,การข่าวในมุมมองของสื่อมวลชน มุ่งเน้นหลักใด,15W +1 M,25H + 5W,35W + 1H,45H + 1W,3
8,แหล่งข่าวเปิด ได้มาจากแหล่งใด,1หนังสือพิมพ์,2การติดตามจากแหล่งข่าวลับ,3การเฝ้าสังเกต,4การสืบสวนหาข่าว,1
9,ข้อใดเป็นรูปแบบของวงรอบข่าวกรองที่ถูกต้อง,1Requirement-Collection-Processing-Analysis,2Recruitment -Controller-Processing- Arrangement,3Recruitment-Collection-Producing-Arrangement,4Requirement-Controller-Producing-Analysis,1
10,หลักเกณฑ์ในการกระจายใช้ข่าวสาร 3 หลักมีอะไรบ้าง,1รวดเร็ว ถูกต้อง ทันเวลา,2ทันเวลา เหมาะสม มั่นคงปลอดภัย,3ถูกต้อง ถูกเวลา เหมาะสม,4รวดเร็ว ทันเวลา ถูกต้อง,2
11,"""ข่าว"" มาจากข้อใด",1สูงต่ำบนล่าง,2เหนือใต้ออกตก,3เร็วช้าหนักเบา,4อดีตปัจจุบันอนาคต,2
12,ข่าวดิบ  สอดคล้องกับข้อใด,1Data,2Information,3News,4Wisdom,1
13,ข่าวกรองที่หมายถึงผลผลิตจากวรรณกรรม  มาจากแหล่งใด,1พจนานุกรมศัพท์ทหาร,2ราชบัณฑิตยสถาน,3พ.ร.บ.ตำรวจ,4ไม่มีข้อใดถูก,1
14,ข้อมูลข่าวสาร สำหรับงานตำรวจ สอดคล้องกับกฎหมายในข้อใดมากที่สุด,1พระราชบัญญัติข้อมูลข่าวสารของทางราชการ พ.ศ.2540,2ประมวลกฎหมายแพ่งและพาณิชย์,3ประมวลกฎหมายอาญา,4พ.ร.บ.ระเบียบการบริหารราชการแผ่นดิน,1
15,การลบล้างความสามารถในการหาข่าวของฝ่ายตรงข้าม ถือว่าสอดคล้องกับข้อใด,1การข่าวเชิงรุก,2การผลิตข่าวกรอง,3การต่อต้านข่าวกรอง,4การข่าวเชิงรับ,3
16,ข้อใดไม่ใช่หลัก 5W1H,1When,2What,3Where,4Whose,4
17,ร.ต.อ.ธาริต หาข่าวได้จากแหล่งข่าวที่ไม่สามารถเปิดเผยต่อสาธารณชนได้  ถือเป็นข่าวประเภทใด,1แหล่งข่าวเปิด,2แหล่งข่าวปิด,3แหล่งข่าวกึงปิด,4แหล่งข่าวกึ่งเปิด,3
18,วงรอบข่าวกรอง ในขั้นตอนแรก คือข้อใด,1ความต้องการข่าวสาร,2การรวบรวม,3การวิเคราะห์,4การดำเนินกรรมวิธี,1
19,กระบวนการด้านข่าวกรองของต่างประเทศ  นำมาจากแนวคิดใด,1ผสมผสานจากหลักการทางวิทยาศาสตร์,2มาจากข้อเท็จจริงทางสังคม,3ผสมผสานความคิดร่วมสมัย,4มุ่งเน้นแนวปรัชญาประยุกต์,1
20,การข่าวนำมาช่วยงานด้านศูนย์ปฏิบัติการ (ศปก.) ได้มากมาย   ยกเว้นข้อใด,1การรักษาความปลอดภัยเอกสาร,2การปฏิบัติการด้านการข่าว,3การเสนอหนทางปฏิบัติ,4การจัดทำแผนที่สถานการณ์,4
21,ข่าวดิบในภาษาทั่วไปคือข้อใด,1ข้อมูล,2ข่าวทั่วไป,3ข่าวสาร,4ข่าวกรอง,1
22,ข่าวสาร สอดคล้องกับข้อใด,1Data,2Information,3News,4Wisdom,2
23,ข่าวกรอง สอดคล้องกับข้อใด,1Data,2Information,3News,4Intelligence,4
24,ข่าว สอดคล้องกับข้อใด,1Data,2Information,3News,4Intelligence,3
25,ข้อใดไม่ใช่ลักษณะของข่าว,1ความมีเงื่อนงํา,2ความรวดเร็ว ทันสมัย,3ความใกล้เกี่ยวข้องกับผู้ใช้ข่าว,4เป็นเรื่องไม่จริง,4
26,ข่าวที่ดีนั้นจะต้องมีคุณสมบัติอย่างไร,1ข่าวต้องชัดเจน ,2ข่าวต้องมีความเป็นกลางไม่ลำเอียง,3ข่าวต้องทันสมัย รวดเร็ว ,4ถูกทุกข้อ,4
27,ข้อใดไม่ใช่คุณสมบัติของข่าวที่ดี,1ข่าวต้องมีความเป็นกลางไม่ลำเอียง,2ความชัดเจนและกะทัดรัด ,3มีอคติเจือปนได้บ้าง,4มีความถูกต้องเป็นความจริง,3
28," จงเติมคำในช่องว่าง ""...เป็นปัจจัยที่บ่งชี้ถึงผลกระทบว่าการปฏิบัติภารกิจของหน่วยมีปัญหาอย่างไร เกิดจากอะไร นำไปสู่การจัดทำแผน/คำสั่ง การแก้ไขปัญหาได้อย่างถูกต้อง""",1งานการข่าว,2งานอำนวยการ,3งานแผนและยุทธการ,4งานส่งกำลังบำรุง,1
29,ในการศึกษาเรื่องการข่าว ท่านอาจพบคำที่เกี่ยวข้องดังต่อไปนี้ ยกเว้นข้อใด,1การข่าวกรอง (Intelligence) ,2การต่อต้านข่าวกรอง (Counter Intelligence: CI),3การปฏิบัติการข่าวสาร (Information Operations: IO),4การข่าวด่วน(Hot News),4
30,"จงเติมคำในช่องว่าง""ข่าวจึงเป็นเสมือนเครื่องมือของ...กระบวนการทํางานฝ่ายอํานวยการ""",1องค์ประกอบ,2ส่วนควบ,3ตัวตั้งต้น(Initial) ,4สารประกอบ,3
31,การข่าวเป็นงานอำนวยการที่งานอื่นจะต้องนำข้อมูลข่าวสาร ไปเป็นข้อมูลในการกำหนดแนวทางโดยเฉพาะในงานใด,1งานป้องกันปราบปราม,2งานแผนงานและบริการสังคม ,3งานสืบสวน,4งานส่งกำลังบำรุง,2
32,ข้อใดไม่ถูกต้อง,1การข่าวเป็นงานที่ไม่กฎเกณฑ์แน่นอน ขึ้นอยู่กับการใช้ดุลยพินิจของผู้ปฏิบัติ ,2การข่าวเป็นงานที่มีวิธีการในการจัดหาข้อมูลข่าวสารเฉพาะของตนเองแตกต่างจากสายงานอื่นๆ ,3การข่าวเป็นงานอำนวยการที่งานอื่นจะต้องนำข้อมูลข่าวสาร ไปเป็นข้อมูลในการกำหนดแนวทางของตนเอง ,4การข่าวเป็นงานที่มีกำหนดเวลาแน่นอนในการจัดหาข้อมูลข่าวสาร,4
33,ข้อใดถือเป็นงานหลักของการข่าว,1การผลิตข่าวกรอง ,2การจารกรรมข้อมูล,3การสร้างข่าว,4การปล่อยข่าว,1
34,ข้อใดไม่ใช่การจัดหาข้อมูลของฝ่ายตรงข้ามในเรื่องของงานการข่าว,1จำนวนกำลัง,2การจัดหรือประกอบกำลัง ,3การปฏิบัติหรือการเคลื่อนไหว,4การบริหารกำลังฝ่ายเรา,4
35,ข้อใดไม่ใช่งานในหน้าที่เฉพาะของสายงานการข่าวตามหลักนิยมทั่วไป ,1การผลิตข่าวกรอง,2การใช้การกระจายข่าวสารและข่าวกรอง ,3การจารกรรมข่าวสาร,4การต่อต้านข่าวกรอง ,3
36,การนำข้อมูลข่าวสารที่จัดหามาได้ ดำเนินกรรมวิธีจนกลายเป็นข่าวกรองแล้ว รายงานให้ผู้บังคับบัญชา อยู่ในขั้นตอนใด,1การผลิตข่าวกรอง,2การใช้การกระจายข่าวสารและข่าวกรอง ,3การจารกรรมข่าวสาร,4การต่อต้านข่าวกรอง ,2
37,การดำเนินการทั้งปวงเพื่อลบล้างความสามารถในการหาข่าวของฝ่ายตรงข้ามอยู่ในข้อใด,1การผลิตข่าวกรอง,2การใช้การกระจายข่าวสารและข่าวกรอง ,3การจารกรรมข่าวสาร,4การต่อต้านข่าวกรอง ,4
38,ข้อใดไม่ใช่การต่อต้านข่าวกรอง,1การป้องกันการจารกรรมข่าวสาร,2การคุ้มครองบุคคลจากการบ่อนทำลาย,3การคุ้มครอง ยุทโธปกรณ์และสถานที่ตั้งจากการก่อวินาศกรรม ,4การกระจายข่าวลือเพื่อสร้างสถานการณ์,4
39,ข้อใดไม่ใช่หน้าที่ในส่วนงานการข่าว,1การจัดหาข้อมูลข่าวสารด้านการข่าว ,2การประมาณการหรือการวิเคราะห์ข้อมูลข่าวสาร ,3การสังเคราะห์ข่าวสารใหม่,4การให้ข้อเสนอแนะต่อผู้บังคับบัญชา ,3
40,ข้อมูลข่าวสารที่เกี่ยวข้องกับงานในหน้าที่ได้แก่สิ่งใดบ้าง ,1เรื่องของฝ่ายตรงข้าม,2เรื่องของพื้นที่ปฏิบัติการ,3เรื่องของฝ่ายที่เป็นกลาง,4เรื่องของการต่อต้านข่าวกรอง,3
41,วิธีการหาข่าวไม่สามารถแสวงหาได้จาก “แหล่งข่าว” ใด,1แหล่งข่าวเปิด,2แหล่งข่าวเปิด,3แหล่งข่าวกึงปิด,4แหล่งข่าวกึ่งเปิด,4
42,แหล่งข่าวปิด คืออะไร ,1การหาข่าวโดยการปฏิบัติการลับที่ฝ่ายตรงข้ามไม่รู้ตัว,2การหาข่าวโดยปกปิดข้อมูลฝ่ายตรงข้าม,3การหาข่าวด้วยการแสวงหาทางสื่อสิ่งพิมพ์,4การหาข่าวด้วยการหาจากเอกสารที่ไม่เผยแพร่ต่อสาธารณชน,1
43,แหล่งข่าวกึ่งปิด คืออะไร,1การหาข่าวโดยการปฏิบัติการลับที่ฝ่ายตรงข้ามไม่รู้ตัว,2การหาข่าวโดยปกปิดข้อมูลฝ่ายตรงข้าม,3การหาข่าวด้วยการแสวงหาทางสื่อสิ่งพิมพ์,4การหาข่าวด้วยการหาจากเอกสารที่ไม่เผยแพร่ต่อสาธารณชน,4
44,แหล่งข่าวเปิด คืออะไร,1การหาข่าวโดยการปฏิบัติการลับที่ฝ่ายตรงข้ามไม่รู้ตัว,2การหาข่าวโดยปกปิดข้อมูลฝ่ายตรงข้าม,3รวบรวมจากต้นเรื่องข่าวที่ไม่ได้ปิดบังซ่อนเร้น,4การหาข่าวด้วยการหาจากเอกสารที่ไม่เผยแพร่ต่อสาธารณชน,3
45,ข้อใดไม่ได้อยู่ในวงรอบข่าวกรอง,1Requirement, 2Coordination,3Processing,4Analysis,2
46,กระบวนการผลิตข่าวกรองรูปแบบเดิมนั้นถือว่าข่าวจากแหล่งเปิด (Open Sources)อยู่ในขั้นตอนใด,1การรวบรวม,2การวิเคราะห์,3การสังเคราะห์ข่าวสารใหม่,4การประมวลข่าวสาร,1
47,การรวบรวมข่าวสารแบบปฐมภูมิ หรือที่นิยมเรียกโดยทั่วไปในปัจจุบันว่าอะไร,1การบริหารข้อมูลข่าวสาร,2การปฏิบัติการข่าว,3การจัดการเอกสาร,4การส่งข่าวธุรการ,2
48,การรวบรวมข่าวสารแบบทุติยภูมิ หรือปัจจุบันเรียกว่าอะไร,1การรวบรวมข่าวสารทางธุรการ,2การปฏิบัติการข่าว,3การจัดการเอกสาร,4การส่งข่าวธุรการ,1
49,ข้อใดไม่ใช่หลักเกณฑ์ในการใช้และการกระจายข่าวสารและข่าวกรอง,1Timely,2Proper,3Timelines,4Security,3
50,ข้อใดไม่ใช่หลักในการรักษาความปลอดภัยข้อมูลข่าวสาร,1การรักษาความปลอดภัยทางกายภาพ (Physical Security),2การรักษาความปลอดภัยทางคอมพิวเตอร์ (Computer Security),3การรักษาความปลอดภัยทางเอกสาร (Documentary Security) ,4การกำหนดระเบียบ กฎเกณฑ์ (Rule and Regulation),3
51,EEI ในทางการข่าวคืออะไร,1Essential Element of Information,2Essential Element of Intelligence,3Essential Element of Indicater,4Essential Element of Interaction,1
52,เราสามารถดำเนินกรรมวิธีต่อข่าวสารให้เป็นข่าวกรองได้อย่างไร,1บันทึก จัดระเบียบ ประเมินค่า ตีความ,2บันทึก เรียบเรียง ตีความ สร้างข่าว,3จัดระเบียบ ทำรายงาน ประเมินเอกสาร ตีความ,4จัดระเบียบ ประเมินค่า ตีความ สร้างข่าว,1
53,การใช้และการกระจายข่าวสารและข่าวกรอง มีความมุ่งหมายหลักเพื่อสิ่งใด,1ผู้บังคับบัญชานำไปใช้ประกอบกำลัง,2ผู้บังคับบัญชานำไปใช้ประกอบ การตกลงใจ อย่างเชื่อมั่น,3ผู้ใต้บังคับบัญชานำไปใช้ประกอบกำลัง,4ผู้เกี่ยวข้องนอกหน่วยนำไปใช้งาน,2
54,การวางแผนรวบรวมข่าว ให้กระทำเมื่อใด ,1กระทำทันทีที่ได้รับมอบหมายให้เข้าไปปฏิบัติการ,2กระทำเมื่อได้รับคำสั่งเท่านั้น,3กระทำก่อนการสั่งการของผู้บังคับบัญชา,4กระทำหลังเหตุการณ์สงบ,1
55,เจ้าหน้าที่การข่าวจะต้องหาข้อมูลพื้นฐานของพื้นที่ปฏิบัติการ ซึ่งปัจจุบันเราใช้คำว่าอะไร,1ข้อมูลพรรคการเมือง,2ข้อมูลท้องถิ่น,3ข้อมูลทั่วไป,4ข้อมูลลับเฉพาะพื้นที่,2
56,ข้อมูลท้องถิ่นของแต่ละหน่วยมักจะไม่เหมือนกันทั้งนี้ขึ้นอยู่กับสิ่งใด,1ภารกิจหน่วยนอก,2ภารกิจหลักของหน่วย,3ภารกิจรองของหน่วยเหนือ,4ภารกิจเฉพาะของหน่วยล่าง,2
57,ปัญหาของฝ่ายอำนวยการข่าว ที่พบบ่อยคือ เมื่อส่งคำถามไปยังหน่วยรวบรวมข้อมูลข่าวสารคืออะไร,1ได้ข้อมูลข่าวสารไม่ครบถ้วน,2ตอบกลับคนละเรื่องกับที่ถาม,3ส่งไปยังหน่วยล่างที่ไม่ใช่เจ้าของเรื่อง,4ผิดทุกข้อ,1
58,รายละเอียดที่ถูกกำหนดขึ้นและต้องการให้ผู้รวบรวมข้อมูลข่าวสารตอบสนองคือสิ่งใด,1คำสั่ง- คำขอ,2คำให้การ,3คำร้องขอ,4ข้อบังคับ,1
59,ข้อใดไม่ใช่วิธีการส่งหัวข้อข่าวสารสำคัญหรือคำสั่ง – คำขอ,1ด้วยวาจา,2ลายลักษณ์อักษร,3ในผนวกข่าวกรอง,4ใบปะหน้าเอกสาร,4
60,การข่าวสามารถนำมาใช้ในงานของศูนย์ปฏิบัติการ (ศปก....)ได้อย่างไร,1รวบรวมข้อมูลข่าวสารสถานการณ์,2การจัดทำรายงานข่าวประจำวัน,3การจัดทำรายงานข่าวประจำเดือน,4ถูกทุกข้อ,4
