1,งานที่เป็นฝ่ายเสนอข้อมูลและความเห็นต่อผู้บังคับบัญชาในการพิจารณาตกลงใจเพื่อปฏิบัติงาน หมายถึงข้อใด,1งานฝ่ายกำลังพล,2งานฝ่ายการข่าว,3งานฝ่ายส่งกำลังบำรุง,4งานฝ่ายอำนวยการ,4
2,ข้อใดมิใช่สายงานของฝ่ายอำนวยการตำรวจ,1ฝ่ายชุมชนมวลชนสัมพันธ์,2ฝ่ายแผนงานและงบประมาณ,3ฝ่ายป้องกันและปราบปรามอาชญากรรม,4ฝ่ายกำลังพลและการข่าว,3
3,หน่วยงานใดที่มีหน้าที่รับผิดชอบในเรื่อง การปฏิบัติการ นโยบาย แผนงาน โครงการและงบประมาณของสำนักงานตำรวจแห่งชาติ,1ฝ่ายแผนงานและงบประมาณ,2ฝ่ายวิจัยและพัฒนา,3ฝ่ายกฎหมายและคดี,4ฝ่ายแผนงานอาชญากรรม,1
4,ข้อใดมิใช่งานในหน้าที่ของฝ่ายแผนงาน,1การงบประมาณ,2การจัดจำหน่าย,3การปฏิบัติ,4การข่าว,4
5,เทคนิคการบริหารงาน (POSDCOORB) มีความสัมพันธ์กับข้อใด,1ธงโรลต์ คูนต์,2ซีริล โอคอนเนลส์,3สตีเฟน พี ร็อบบินส์,4ลูเธอร์ กูลิคค์,4
6,ข้อใดมิใช่ขั้นตอนเทคนิคการบริหารงาน (POSDCOORB),1Planning,2Organizing,3Participate,4Controlling,3
7,ข้อใดมิใช่ขั้นตอนในการวางแผน,1ขั้นเตรียมการ,2ขั้นดำเนินการวางแผน,3ขั้นวิเคราะห์ สรุป และประเมินผล,4ขั้นกำหนดทางเลือกและควบคุม,4
8,งานในหน้าที่ร่วมของฝ่ายอำนวยการในส่วนของฝ่ายแผนมีกี่ประการ,12 ประการ,23 ประการ,34 ประการ,45 ประการ,4
9,การติดตามผลการปฏิบัติตามคำสั่งของผู้บังคับบัญชาซึ่งได้สั่งการไปแล้วว่าคำสั่งมีผลเพียงใด หมายถึงข้อใด,1การรวบรวมและให้ข้อมูลข่าวสาร,2การให้ข้อเสนอแนะ,3การจัดทำแผน/คำสั่ง,4การกำกับดูแล,4
10,ข้อใดถูกต้องที่สุดในเรื่องรูปแบบของแผนหรือคำสั่งยุทธการ,1การบังคับบัญชาและการติดต่อสื่อสาร,2ธุรการและการส่งกำลังบำรุง,3สถานการณ์ ภารกิจ การปฏิบัติ,4ถูกทุกข้อ,4
11,หลักการวางแผนบุคลากรในการจัดบุคคลให้เหมาะกับงานเป็นหน้าที่ของฝ่ายใด,1ฝ่ายชุมชนมวลชนสัมพันธ์,2ฝ่ายแผนงานและงบประมาณ,3ฝายส่งกำลังบำรุง,4ฝ่ายกำลังพล,4
12,ข้อความใดไม่ถูกต้องเกี่ยวกับการวางแผน,1การวางแผนเป็นการใช้สามัญสำนึกอย่างมีเหตุผล,2การวางแผนเป็นความพยายามต่อเนื่องในการปฎิบัติงานให้บรรลุเป้าหมาย,3การวางแผนเป็นการใช้ความรู้ความสามารถวินิจฉัยเหตุการณ์ต่างๆในอดีตและปัจจุบัน,ในการปฎิบัติงานใดๆภายในเวลาที่กำหนดไว้,3
13,กิจการของการวางแผนหมายถึงข้อใด,1สายการบังคับบัญชา การเลื่อนไหลของสายงาน,2ขอบข่ายความรับผิดชอบของงานในองค์กร,3การเตรียมข้อมูลและวิเคราะห์ข้อมูล,4การกำหนดวัตถุประสงค์,4
14,ข้อใดมิใช่แผนปฎิบัติการ,1แผนประจำปี,2แผนการตีโต้ตอบ,3แผนเผชิญเหตุ,4แผนยุทธการ,1
15,กระบวนการวางแผนว่าหน่วยงานมีกำลังคนกี่คนแต่ละคนปฎิบัติหน้าที่อย่างไร หมายถึงข้อใด,1การพัฒนาบุคลากร,2การวางแผนกำลังคน,3การกำหนดนโยบาย กฎหมาย ระเบียบ,4การจัดบุคคลและการสรรหาบุคคลให้ดำรงตำแหน่ง,2
16,การกำกับดูแลการดำเนินงานต่างๆเพื่อให้เป็นไปตามแผนงานที่วางไว้ มีความสอดคล้องกับข้อใด,1coordinating,2controlling,3bureaucatic,4staffing,2
17,การสรุปผลการวางแผน ผลกระทบที่อาจเกิดขึ้น สุดท้ายนำเสนอผู้มีอำนาจอนุมัติ เป็นขั้นตอนในการวางแผนข้อใด,1ขั้นเตรียมการ,2ขั้นวิเคราะห์,3ขั้นดำเนินการวางแผนวิเคราะห์ สรุป ,4ขั้นการประเมินผล,4
18,ข้อใดมิใช่งานในหน้าที่ทั่วไปของฝ่ายอำนวยหรือพันธกิจ,1การรวบรวมและให้ข้อมูลข่าวสาร,2การวิเคราะห์ข้อมูลข่าวสาร,3การให้ข้อเสนอแนะ,4การวินิจฉัยเหตุการณ์ในอดีต,4
19,ฝ่ายใดจะต้องให้ข้อมูลเกี่ยวกับฝ่ายตรงข้ามซึ่งจะเป็นการทำให้คำว่า รู้เขา รู้เรา สมบูรณ์มากยิ่งขึ้น,1ฝ่ายกำลังพล,2ฝ่ายการข่าว,3ฝ่ายแผนงาน,4ฝ่ายส่งกำลังบำรุง,2
20,แผนที่ใช้แก้ปัญหาในเชิงป้องกันหมายถึงข้อใด,1แผนยุทธศาสตร์,2แผนปฎิบัติการ,3แผนกลยุทธ์,4แผนปฎิบัติราชการ,3
21,ฝ่ายใดของตำรวจมีความมุ่งหมายให้ช่วยเหลือผู้บังคับบัญชาในการดำเนินการทางด้านธุรการ,1ฝ่ายอำนวยการ,2ฝ่ายสอบสวน,3ฝ่ายธุรการ,4ฝ่ายสวัสดิการ,1
22,การดำเนินการด้านธุรการของหน่วยเป็นงานของฝ่ายใด,1ฝ่ายพลาธิการ,2ฝ่ายพัสดุ,3ฝ่ายงบประมาณ,4ฝ่ายอำนวยการ,4
23,ฝ่ายที่ให้ความช่วยเหลือผู้บังคับบัญชาในการจัดทำแผนและคำสั่งหมายถึงข้อใด,1ฝ่ายการเงิน,2ฝ่ายงบประมาณ,3ฝ่ายอำนวยการ,4ถูกทุกข้อ,3
24,ฝ่ายอำนวยการตำรวจจัดกลุ่มงานได้กี่สายงาน,1 3,2 4,3 5,4 6,3
25,ข้อใดไม่ใช่งานฝ่ายอำนวยการตำรวจ,1ฝ่ายปฏิบัติการ,2ฝ่ายกำลังพล,3ฝ่ายการข่าว,4ฝ่ายส่งกำลังบำรุง,1
26,ฝ่ายแผนและยุทธศาสตร์หมายถึงข้อใด,1ฝ่ายแผนงานและงบประมาณ,2ฝ่ายงบประมาณและการเงิน,3ฝ่ายธุรการและพัสดุ,4ฝ่ายแผนและการข่าว,1
27,หน่วยงานใดที่รับผิดชอบทางอำนวยการในด้านการปฏิบัติการ งบประมาณ การวิจัยพัฒนา การจัดระบบข้อมูลสารสนเทศและเป็นศูนย์ข้อมูลข่าวสารของสำนักงานตำรวจแห่งชาติ,1สำนักงบประมาณ,2สำนักงานแผน,3สำนักยุทธศาสตร์,4สำนักงานแผนงานและงบประมาณ4,4
28,หน่วยหรือบุคคลที่รับผิดชอบทางฝ่ายอำนวยการด้านใดจะต้องช่วยเหลือผู้บังคับบัญชาปฏิบัติภารกิจหลักได้บรรลุผลสำเร็จอย่างมีระบบ,1ด้านกำลังพล,2ด้านการข่าว,3ด้านแผนงาน,4ด้านชุมชนสัมพันธ์,3
29,การจัดหน่วย การฝึก การปฏิบัติและการงบประมาณเป็นงานในหน้าที่ของฝ่ายใด,1ฝ่ายส่งกำลังบำรุง,2ฝ่ายแผนงาน,3ฝ่ายข่าว,4ถูกทุกข้อ,2
30,การปรับปรุงโครงสร้างองค์กรของหน่วยที่ตนเองเป็นฝ่ายอำนวยการและหน่วยรองหมายถึงข้อใด,1การงบประมาณ,2การจัดหน่วย,3การปฏิบัติ,4การฝึก,2
31,ข้อใดไม่ถูกต้องเรื่องงานในหน้าที่ของแผนงาน,1การงบประมาณ,2การข่าว,3การฝึก,4การปฏิบัติ,3
32,การปฏิบัติซึ่งเป็นงานในหน้าที่ของแผนงานในทางทหารเรียกว่าอะไร,1การยุทธ,2การฝึก,3การจัดหน่วย,4การงบประมาณ,1
33,การจัดทำและปรับปรุงอัตราการจัดยุทโธปกรณ์และการจัดหน่วยเพื่อปฏิบัติภารกิจเฉพาะในเรื่องใดเรื่องหนึ่งหมายถึงข้อใด,1ยุทธวิธี,2การปฏิบัติ,3การจัดหน่วย,4การประชาสัมพันธ์,3
34,การพัฒนาบุคลากรภายในองค์กรซึ่งต้องกระทำโดยต่อเนื่องเพื่อเป็นการทบทวน ฟื้นฟูสมรรถภาพและประสิทธิภาพของกำลังพลหมายถึงข้อใด,1กำลังพล,2การวางแผน,3การปฏิบัติ,4การฝึก,4
35,ข้อใดไม่ถูกต้องในเรื่องการงบประมาณ,1การประชุมเชิงปฏิบัติการ,2วีธีการงบประมาณ,3การจัดทำคำของบประมาณ,4การจัดสรรควบคุมการใช้จ่าย,1
36,งานในหน้าที่ของฝ่ายแผนจะครอบคลุมทุกหลักการบริหารทั่วไปตามแนวคิดของใคร,1สตีเฟน พี ร็อบบินส์,2ซีริล โอคอนเนลส์,3ลูเธอร์ กูลิคค์,4ธงโรลต์ คูนต์,3
37,การจัดบุคคลให้เหมาะกับงานเป็นหน้าที่ของฝ่ายใด,1ฝ่ายแผนงาน,2ฝ่ายงบประมาณ,3ฝ่ายยุทธศาสตร์,4ฝ่ายกำลังพล,4
38,เทคนิคการบริหารงานประกอบด้วยวิธีการจัดการกี่ขั้นตอน ,1 4,2 5,3 6,4 7,4
39,กิจกรรมในการวางแผนมีกี่กิจกรรม,1 3,2 4,3 5,4 6,4
40,ข้อใดไม่ใช่กิจกรรมในการวางแผน,1การกำหนดทางเลือก,2การกำหนดวัตถุประสงค์,3การกำหนดสมมุติฐาน,4การกำหนดวิธีการประเมินผล,3
41,การสรุปผลการดำเนินงานที่ผ่านมาอยู่ในขั้นตอนใดในการวางแผน,1ขั้นเตรียมการ,2ขั้นวิเคราะห์,3ขั้นดำเนินการวางแผน ,4ขั้นประเมิน,1
42,ขั้นดำเนินการวางแผนหมายถึงข้อใด,1เตรียมข้อมูลบุคลากรและทรัพยากร,2วิเคราะห์ข้อมูล ข้อเท็จจริงต่างๆ,3สรุปผลการวางแผน,4กำหนดว่าจะทำอะไรอย่างไรใครทำบ้างที่ไหนและเมื่อไหร่,4
43,การบอกเวลาที่ได้รับทั้งทางตรงและทางอ้อมผลกระทบที่อาจเกิดขึ้นสุดท้ายนำเสนอผู้มีอำนาจอนุมัติอยู่ในขั้นใดในการวางแผน,1ขั้นประเมินผล,2ขั้นเตรียมการ,3ขั้นวิเคราะห์ สรุป ,4ขั้นดำเนินการวางแผน,1
44,Man Power Planningหมายถึงข้อใด,1การกำกับดูแล,2การจัดบุคคล,3การสรรหาบุคคล,4การวางแผนกำลังคน,4
45,งานในหน้าที่ของฝ่ายอำนวยการหรือพันธกิจมีกี่ประการ,1 2,2 3,3 4,4 5,4
46,ข้อใดเป็นงานในหน้าที่ร่วมของฝ่ายอำนวยการในส่วนของแผน,1การจัดทำแผนและคำสั่ง,2การกำกับดูแล,3การวิเคราะห์ข้อมูลข่าวสาร,4ถูกทุกข้อ,4
47,ESTIMATEหมายถึงข้อใด,1การรวบรวมข้อมูล,2การให้ข้อมูลข่าวสาร,3การวิเคราะห์ข้อมูลข่าวสาร,4การให้ข้อเสนอแนะ,3
48,การที่ผู้บังคับบัญชาและฝ่ายอำนวยการอื่นๆได้รับทราบเกี่ยวกับสถานภาพ การปฏิบัติและผลการปฏิบัติของหน่วยที่เป็นปัจจุบันซึ่งเป็นส่วนหนึ่งของคำว่าอะไร,1รู้เขา,2รู้เรา,3รู้เขา รู้เรา,4ถูกทุกข้อ,2
49,ข้อใดเกี่ยวข้องกับการทำให้คำว่ารู้เขา รู้เราสมบูรณ์มากขึ้น,1การรวบรวมข้อมูล,2การวิเคราะห์ข้อมูลข่าวสาร,3การกำกับดูแล,4การให้ข้อเสนอแนะ,2
50,ฝ่ายอำนวยการที่จะต้องให้ข้อมูลกับฝ่ายตรงข้ามหมายถึงข้อใด,1ฝ่ายกำลังพล,2ฝ่ายงบประมาณ,3ฝ่ายแผนงาน,4ฝ่ายการข่าว,4
51,INFORMATIONงานในหน้าที่ทั่วไปของฝ่ายอำนวยการหมายถึงข้อใด,1การกำกับดูแล,2การวิเคราะห์ข้อมูลข่าวสาร,3การจัดทำแผน/คำสั่ง,4การรวบรวมและให้ข้อมูลข่าวสาร,4
52,การดำเนินการเพื่อให้ข้อมูลข่าวสารในเรื่องต่างๆที่ฝ่ายแผนงานรับผิดชอบหมายถึงข้อใด,1การรวบรวมข้อมูลข่าวสาร,2การให้ข้อมูลข่าวสาร,3การวิเคราะห์ข้อมูลข่าวสาร,4การรวบรวมและให้ข้อมูลข่าวสาร,4
53,ฝ่ายใดจะต้องนำข้อมูลหรือปัจจัยที่มีผลกระทบต่อการปฏิบัติภารกิจมาวิเคราะห์เปรียบเทียบกับวิธีการปฏิบัติงาน,1ฝ่ายกำลังพล,2ฝ่ายการข่าว,3ฝ่ายแผนงาน,4ฝ่ายส่งกำลังบำรุง,3
54,คำว่า รู้เขา รู้เรา เกี่ยวข้องกับข้อใดมากที่สุด,1การกำกับดูแล,2การรวบรวมข้อมูล,3การให้ข้อเสนอแนะ,4การประมาณการ,4
55,ฝ่ายใดจะต้องเสนอทางเลือกในการปฏิบัติงานให้แก่ผู้บังคับบัญชา,1ฝ่ายแผนงาน,2ฝ่ายกำลังพล,3ฝ่ายส่งกำลังบำรุง,4ฝ่ายชุมชนมวลชนสัมพันธ์,1
56,ข้อมูลของฝ่ายตรงข้ามจะได้จากฝ่ายใด,1ฝ่ายงบประมาณ,2ฝ่ายการข่าว,3ฝ่ายแผนงาน,4ฝ่ายส่งกำลังบำรุง,2
57,ADVISORเป็นงานในหน้าที่ของฝ่ายอำนวยการข้อใด,1การกำกับดูแล,2การให้ข้อเสนอแนะ,3การจัดทำแผนและคำสั่ง,4ผิดทุกข้อ,2
58,ข้อใดเป็นข้อห้ามในการเสนอแนะของฝ่ายอำนวยการ,1ข้อเสนอแนะที่ผ่านการประมาณการมาแล้ว,2ข้อเสนอแนะที่ผ่านกระบวนการทำงานในขั้นของการวิเคราะห์ข้อมูลอย่างสมบูรณ์,3การเสนองานขึ้นไปยังผู้บังคับบัญชาให้สั่งการโดยใช้คำว่า เพื่อโปรดพิจารณา โดยไม่มีข้อเสนอว่าจะสั่งการอย่างไรกับงานเรื่องนั้น,4ถูกทุกข้อ,3
59,หัวข้อที่จัดทำในรูปแบบของแผนหรือคำสั่งยุทธการมีกี่หัวข้อ,1 5,2 4,3 3,4 2,1
60,ข้อใดเป็นหัวข้อการจัดทำรูปแบบของแผนหรือคำสั่งยุทธการ,1สถานการณ์,2ภารกิจ,3การปฏิบัติ,4ถูกทุกข้อ,4
