1,ข้อใดคือความหมายของ “หน่วยงานผู้เบิก” ในระเบียบการเบิกจ่ายเงินจากคลัง การเก็บรักษาเงินและการนำเงินส่งคลัง พ.ศ.2551,1ส่วนราชการ หน่วยงานในกำกับของรัฐ องค์การมหาชน รัฐวิสาหกิจ ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,2กรุงเทพมหานคร เมืองพัทยา ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,3หน่วยงานขององค์กรที่จัดตั้งขึ้นตามบทบัญญัติของรัฐธรรมนูญ หรือหน่วยงานอื่นใดในลักษณะเดียวกัน ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,4ถูกทุกข้อ,4
2,ข้อใดคือความหมายของ “หลักฐานการจ่าย” ในระเบียบการเบิกจ่ายเงินจากคลัง การเก็บรักษาเงินและการนำเงินส่งคลัง พ.ศ.2551,1หลักฐานที่แสดงว่าได้มีการจ่ายเงินให้แก่ผู้รับหรือเจ้าหนี้ตามข้อผูกพันโดยถูกต้องแล้ว,2หลักฐานที่แสดงว่าได้มีการรับเงินให้แก่ผู้จ่ายหรือลูกหนี้ตามข้อผูกพันโดยถูกต้องแล้ว,3หลักฐานที่แสดงว่าได้มีการรับ-จ่ายเงินให้แก่ผู้รับ-จ่ายหรือลูกหนี้หรือเจ้าหนี้ตามข้อผูกพันโดยถูกต้องแล้ว,4เงินที่ส่วนราชการจ่ายให้แก่บุคคลใดบุคคลหนึ่งยืมเพื่อเป็นค่าใช้จ่ายในการเดินทางไปราชการหรือการปฏิบัติราชการอื่นใด ทั้งนี้ ไม่ว่าจะจ่ายจากงบประมาณรายจ่ายหรือเงินนอกงบประมาณ,1
3,เงินงบประมาณรายจ่ายที่ส่วนราชการเบิกจากคลังไปแล้ว แต่ไม่ได้จ่ายหรือจ่ายไม่หมด หรือจ่ายไปแล้วแต่ถูกเรียกคืน และได้นำส่งคลังภายหลังสิ้นปีงบประมาณหรือภายหลังระยะเวลาเบิกเงินที่กันไว้เบิกเหลื่อมปี เป็นความหมายของ อะไรในระเบียบการเบิกจ่ายเงินจากคลัง การเก็บรักษาเงินและการนำเงินส่งคลัง พ.ศ.2551,1เงินงบประมาณ,2เงินนอกงบประมาณ,3เงินเหลือจ่ายปีเก่าส่งคืน,4เงินรายได้แผ่นดิน,3
4,ข้อใดต่อไปนี้ถูกต้อง,1เงินเหลือจ่ายปีเก่าส่งคืน คือ เงินงบประมาณรายจ่ายที่ส่วนราชการเบิกจากคลังไปแล้ว แต่ไม่ได้จ่ายหรือจ่ายไม่หมด หรือจ่ายไปแล้วแต่ถูกเรียกคืน และได้นำส่งคลังก่อนสิ้นปีงบประมาณหรือภายหลังระยะเวลาเบิกเงินที่กันไว้เบิกเหลื่อมปี ,2เงินเหลือจ่ายปีเก่าส่งคืน คือ เงินงบประมาณรายจ่ายที่ส่วนราชการเบิกจากคลังไปแล้ว แต่ไม่ได้จ่ายหรือจ่ายไม่หมด หรือจ่ายไปแล้วแต่ถูกเรียกคืน และได้นำส่งคลังก่อนสิ้นปีงบประมาณหรือก่อนระยะเวลาเบิกเงินที่กันไว้เบิกเหลื่อมปี ,3เงินเหลือจ่ายปีเก่าส่งคืน คือ เงินงบประมาณรายจ่ายที่ส่วนราชการเบิกจากคลังไปแล้ว แต่ไม่ได้จ่ายหรือจ่ายไม่หมด หรือจ่ายไปแล้วแต่ถูกเรียกคืน และได้นำส่งคลังภายหลังสิ้นปีงบประมาณหรือก่อนระยะเวลาเบิกเงินที่กันไว้เบิกเหลื่อมปี ,4เงินเหลือจ่ายปีเก่าส่งคืน คือ เงินงบประมาณรายจ่ายที่ส่วนราชการเบิกจากคลังไปแล้ว แต่ไม่ได้จ่ายหรือจ่ายไม่หมด หรือจ่ายไปแล้วแต่ถูกเรียกคืน และได้นำส่งคลังภายหลังสิ้นปีงบประมาณหรือภายหลังระยะเวลาเบิกเงินที่กันไว้เบิกเหลื่อมปี,4
5,ระบบ GFMIS ย่อมาจากอะไร,1Government Fiscal Management Information System,2General Fiscal Management Information System,3Government Fiscal Management Information Sign,4Government Fiscal Management Information System Operation,1
6,ใบเสร็จรับเงินอย่างน้อยต้องมีรายการอะไรบ้าง,1ชื่อ สถานที่อยู่ หรือที่ทำการของผู้รับเงิน วัน เดือน ปี ที่รับเงิน,2รายการแสดงการรับเงินระบุว่าเป็นค่าอะไร,3จำนวนเงินทั้งตัวเลขและตัวอักษร ลายมือชื่อของผู้รับเงิน,4ถูกทุกข้อ,4
7,ข้อใดต่อไปนี้ถูกต้อง,1หลักฐานการจ่ายต้องพิมพ์หรือเขียนด้วยหมึก การแก้ไขหลักฐานการจ่าย ให้ใช้วิธีขีดฆ่าแล้วพิมพ์หรือเขียนใหม่ และให้ผู้รับเงินลงลายมือชื่อกำกับไว้ทุกแห่ง,2การจ่ายเงินให้จ่ายเป็นเช็ค ยกเว้นกรณีที่จ่ายจากเงินทดรองราชการ ซึ่งเก็บรักษาไว้เป็นเงินสด หรือการจ่ายเงินให้แก่ข้าราชการ ลูกจ้าง พนักงานราชการ ผู้รับบำนาญหรือเบี้ยหวัดหรือการจ่ายเงินที่มีวงเงินต่ำกว่าสี่พันบาท จะจ่ายเป็นเงินสดก็ได้,3กรณีส่วนราชการจ่ายเงินรายใด ซึ่งตามลักษณะไม่อาจเรียกใบเสร็จรับเงินจากผู้รับเงินได้ ให้ผู้จ่ายเงินลงชื่อรับเงินในใบสำคัญรับเงินเพื่อใช้เป็นหลักฐานการจ่าย,4หลักฐานการจ่ายต้องพิมพ์หรือเขียนด้วยหมึก การแก้ไขหลักฐานการจ่าย ให้ใช้วิธีขีดฆ่าแล้วพิมพ์หรือเขียนใหม่ และไม่ต้องให้ผู้รับเงินลงลายมือชื่อกำกับไว้,1
8,การเบิกเงินเพื่อจ่ายเป็นเงินยืมให้แก่บุคคลใดในสังกัดยืมเพื่อปฏิบัติราชการไม่ให้กระทำในงบรายจ่ายหรือรายการใด,รายการค่าจ้างชั่วคราว,รายการค่าครุภัณฑ์,รายการค่าตอบแทน ใช้สอยและวัสดุ,รายการค่าสาธารณูปโภคเฉพาะค่าบริการไปรษณีย์โทรเลข,2
9,การจ่ายเงินยืมเพื่อเป็นค่าใช้จ่ายในการเดินทางไปราชการในราชอาณาจักรให้จ่ายได้สำหรับระยะเวลาการเดินทางที่ไม่เกิน.......กี่วัน ถ้าเกินและมีความจำเป็นต้องทำความตกลงกับหน่วยงานใด,160 วัน / ทำความตกลงกับสำนักงบประมาณ,270 วัน/ ทำความตกลงกับกระทรวงการคลัง,380 วัน/ ทำความตกลงกับกระทรวงการคลัง,490 วัน/ ทำความตกลงกับกระทรวงการคลัง,4
10,เงินที่เบิกจากคลัง ถ้าไม่ได้จ่ายหรือจ่ายไม่หมด ให้ส่วนราชการผู้เบิกนำส่งคืนคลังภายใน...กี่วัน นับจากวันที่รับเงินจากคลัง,110 วัน,215 วัน,320 วัน,430 วัน,2
11,ระเบียบกระทรวงการคลังว่าด้วยเงินทดรองราชการ พ.ศ.2547 กำหนดให้ส่วนราชการเจ้าของงบประมาณและหน่วยงานในสังกัดเก็บรักษาทดรองราชการเป็นเงินสด ณ ที่ทำการ เท่าไร,"1ส่วนราชการผู้เบิกในส่วนกลาง แห่งละไม่เกิน 50,000 บาท/ส่วนราชการผู้เบิกในส่วนภูมิภาค แห่งละไม่เกิน 30,000 บาท/ หน่วยงานย่อย แห่งละไม่เกิน 30,000 บาท","2ส่วนราชการผู้เบิกในส่วนกลาง แห่งละไม่เกิน 200,000 บาท/ส่วนราชการผู้เบิกในส่วนภูมิภาค แห่งละไม่เกิน 30,000 บาท/ หน่วยงานย่อย แห่งละไม่เกิน 30,000 บาท","3ส่วนราชการผู้เบิกในส่วนกลาง แห่งละไม่เกิน 100,000 บาท/ส่วนราชการผู้เบิกในส่วนภูมิภาค แห่งละไม่เกิน 30,000 บาท/ หน่วยงานย่อย แห่งละไม่เกิน 10,000 บาท","4ส่วนราชการผู้เบิกในส่วนกลาง แห่งละไม่เกิน 100,000 บาท/ส่วนราชการผู้เบิกในส่วนภูมิภาค แห่งละไม่เกิน 50,000 บาท/ หน่วยงานย่อย แห่งละไม่เกิน 30,000 บาท",3
12,ในกรณีที่หมดความจำเป็นต้องใช้เงินทดรองราชการ ให้ส่วนราชการเจ้าของงบประมาณนำเงินทดรองราชการส่งคืนคลังภายใน...กี่วัน นับแต่วันที่หมดความจำเป็น,115 วัน,225 วัน,335 วัน,445 วัน,1
13,ข้อใดกล่าวถึงดอกเบี้ยที่เกิดจากการนำเงินทดรองราชการฝากธนาคาร ถูกต้อง,1ดอกเบี้ยถือเป็นรายได้ของส่วนราชการ,2ดอกเบี้ยให้นำส่งคลังเป็นรายได้แผ่นดิน,3ดอกเบี้ยให้นำส่งเข้ากองทุนของส่วนราชการ,4ดอกเบี้ยให้ถือเป็นเงินบูรณะทรัพย์สินของส่วนราชการ,2
14,ระเบียบกระทรวงการคลังว่าด้วยการเบิกจ่ายเงินค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ พ.ศ. 2550 กำหนดให้เบิกเงินค่าตอบแทนการปฏิบัติงานนอกเวลาราชการในวันทำการอัตราชั่วโมงละเท่าไร,140 บาท,245 บาท,350 บาท,455 บาท,3
15,ระเบียบกระทรวงการคลังว่าด้วยการเบิกจ่ายเงินค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ พ.ศ. 2550 กำหนดให้เบิกเงินค่าตอบแทนการปฏิบัติงานนอกเวลาราชการในวันหยุดราชการอัตราชั่วโมงละเท่าไร,140 บาท,250 บาท,360 บาท,470 บาท,3
16,การเบิกค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ ข้อใดถูกต้อง,1นาย ก มีหน้าที่เวรรักษาความปลอดภัยสถานที่ราชการ ในวันเสาร์ที่ 10 มกราคม xx และนาย ก สามารถเบิกเงินค่าตอบแทนฯ ดังกล่าวได้ในวันที่อยู่เวร,2นาย ก มีหน้าที่เวรรักษาความปลอดภัยสถานที่ราชการ ในวันเสาร์ที่ 10 มกราคม xx และนาย ก สามารถเบิกเงินค่าตอบแทนฯ ดังกล่าวได้ในวันที่อยู่เวร เพียงร้อยละ 70 ของอัตราที่เบิก,3นาย ก มีหน้าที่เวรรักษาความปลอดภัยสถานที่ราชการ ในวันเสาร์ที่ 10 มกราคม xx และนาย ก สามารถเบิกเงินค่าตอบแทนฯ ดังกล่าวได้ในวันที่อยู่เวร เพียงร้อยละ 50 ของอัตราที่เบิก,4นาย ก มีหน้าที่เวรรักษาความปลอดภัยสถานที่ราชการ ในวันเสาร์ที่ 10 มกราคม xx และนาย ก ไม่สามารถเบิกเงินค่าตอบแทนฯ ดังกล่าวได้ในวันที่อยู่เวร,4
17,ข้อใดต่อไปนี้ไม่ถูกต้องในการเบิกค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,1นาย ก ปฏิบัติงานเวลา 08.30 นถึง เวลา 17.00 นนาย ก สามารถเบิกค่าตอบแทนฯ ดังกล่าวได้ ,2นาย ก ปฏิบัติงานเวลา 08.30 นถึง เวลา 17.00 นนาย ก ไม่สามารถเบิกค่าตอบแทนฯ ดังกล่าวได้ เนื่องจากปฏิบัติงานนอกเวลาราชการไม่เต็มชั่วโมง,3นาย ก มีหน้าที่เวรรักษาความปลอดภัยสถานที่ราชการ ในวันเสาร์ที่ 10 มกราคม xx และนาย ก ไม่สามารถเบิกเงินค่าตอบแทนฯ ดังกล่าวได้ในวันที่อยู่เวร,4นาย ก อยู่ปฏิบัติงานนอกเวลาราชการในวันหยุดราชการสามารถเบิกค่าตอบแทนฯ ดังกล่าวได้ในอัตราชั่วโมงละ60 บาท,1
18,ตามระเบียบกระทรวงการคลังว่าด้วยการเบิกค่าใช้จ่ายในการเดินทางไปราชการ (ฉบับที่ 2) พ.ศ. 2554 กำหนดให้เบิกค่าเบี้ยเลี้ยงเดินทางไปราชการในราชอาณาจักรในลักษณะเหมาจ่าย สำหรับข้าราชการตำรวจยศพันตำรวจเอกลงมาในอัตราเท่าไร,"1210 บาท","2220 บาท","3230 บาท","4240 บาท",4
19,ตามระเบียบกระทรวงการคลังว่าด้วยการเบิกค่าใช้จ่ายในการเดินทางไปราชการ (ฉบับที่ 2) พ.ศ. 2554 กำหนดให้เบิกค่าเบี้ยเลี้ยงเดินทางไปราชการในราชอาณาจักรในลักษณะเหมาจ่าย สำหรับข้าราชการตำรวจยศสิบตำรวจเอกในอัตราเท่าไร,"1240 บาท","2220 บาท","3230 บาท","4210 บาท",1
20,ตามระเบียบกระทรวงการคลังว่าด้วยการเบิกค่าใช้จ่ายในการเดินทางไปราชการ (ฉบับที่ 2) พ.ศ. 2554 กำหนดให้เบิกค่าเบี้ยเลี้ยงเดินทางไปราชการในราชอาณาจักรในลักษณะเหมาจ่าย สำหรับข้าราชการตำรวจยศพลตำรวจตรีในอัตราเท่าไร,"1240 บาท","2260 บาท","3270 บาท","4280 บาท",3
21,กองทุนเพื่อการสืบสวนและสอบสวนคดีอาญา จัดตั้งขึ้นเพื่อวัตถุประสงค์ใด,1เพื่อเป็นค่าใช้จ่ายในการป้องกันปราบปรามอาชญากรรม,2เพื่อสนับสนุนงานสืบสวนและสอบสวนคดีอาญา อันจะทำให้การดำเนินกระบวนการยุติธรรมในส่วนที่ข้าราชการตำรวจรับผิดชอบมีศักยภาพยิ่งขึ้น,3เพื่อพัฒนาพนักงานผู้มีอำนาจสืบสวน,4เพื่อพัฒนาพนักงานผู้มีอำนาจสอบสวน,2
22,ข้อใดไม่ใช่องค์ประกอบของกองทุน,1เงินงบประมาณรายจ่ายประจำปี,2ทรัพย์สินที่องค์กรปกครองส่วนท้องถิ่นมอบให้,3เงินค่าปรับตามคำพิพากษาของศาล,4ดอกเบี้ยที่เกิดจากกองทุน,3
23,ปัจจุบันค่าใช้จ่ายใดสามารถใช้จ่ายจากกองทุนได้,1ค่าใช้จ่ายเดินทางนำตัวผู้ต้องหาไปศาล,2ค่าตอบแทนชุดปฏิบัติการในการหาข่าว,3ค่าวัสดุที่ใช้ในการสืบสวนและสอบสวนคดีอาญา,4ค่าจ้างรถบรรทุกขนส่งของกลางในคดีอาญา,1
24,การเก็บรักษาเงินกองทุน ดำเนินการได้อย่างไร,1ฝากธนาคารพาณิชย์ โดยเปิดบัญชีประเภทกระแสรายวัน,2เก็บรักษา ณ ที่ทำการรวมกับเงินรายรับอื่นในรายงานเงินคงเหลือประจำวัน,3ฝากธนาคารพาณิชย์ โดยเปิดบัญชีประเภทออมทรัพย์,4ฝากธนาคารรัฐวิสาหกิจ โดยเปิดบัญชีประเภทออมทรัพย์,4
25,ผู้มีอำนาจลงนามสั่งจ่ายเงินจากบัญชีเงินฝากธนาคาร คือบุคคลใด,1หัวหน้าหน่วยงาน,2หัวหน้าหน่วยงานลงลายมือชื่อร่วมกับข้าราชการตำรวจชั้นสัญญาบัตรอีกหนึ่งคน,3หัวหน้างานอำนวยการของหน่วยงาน,4หัวหน้างานอำนวยการลงลายมือชื่อร่วมกับข้าราชการตำรวจชั้นสัญญาบัตรอีกหนึ่งคน,2
26,การเดินทางโดยรถไฟให้เบิกค่าพาหนะได้เท่าที่จ่ายจริง สำหรับการเดินทางโดยรถด่วนหรือรถด่วนพิเศษ ชั้น 1  นั่งนอนปรับอากาศ(บนอ.ป.) ให้เบิกได้เฉาพะผู้ดำรงตำแหน่งใด,1สิบตำรวจเอก,2ดาบตำรวจ,3ร้อยตำรวจเอก,4พันตำรวจโท,4
27,ข้อใดกล่าวได้ถูกต้องเกี่ยวกับการเบิกค่าเครื่องแต่งตัว เมื่อได้เดินทางไปราชการต่างประเทศชั่วคราว,1เบิกได้ทุกครั้งที่ได้รับการอนุมัติให้เดินทางไปราชการต่างประเทศชั่วคราว,2ให้มีระยะห่างจากการเดินทางไปราชการต่างประเทศชั่วคราวครั้งสุดท้ายที่ได้รับค่าเครื่องแต่งตัวเกินกว่าหนึ่งปีนับแต่วันที่เดินทางออกจากประเทศไทย,3ให้มีระยะห่างจากการเดินทางไปราชการต่างประเทศชั่วคราวครั้งสุดท้ายที่ได้รับค่าเครื่องแต่งตัวเกินกว่าสองปีนับแต่วันที่เดินทางออกจากประเทศไทย,4ให้มีระยะห่างจากการเดินทางไปราชการต่างประเทศชั่วคราวครั้งสุดท้ายที่ได้รับค่าเครื่องแต่งตัวเกินกว่าสี่ปีนับแต่วันที่เดินทางออกจากประเทศไทย,3
28,ข้อใดกล่าวได้ถูกต้องเกี่ยวกับการเบิกค่าพาหนะ,1ผู้ที่มีสิทธิเบิกค่าเบี้ยเลี้ยงวันละ 270 บาท คือข้าราชการตำรวจที่มียศพันตำรวจเอก อัตราเงินเดือนพันตำรวจเอกพิเศษขึ้นไป,2ผู้ที่มีสิทธิเบิกค่าเบี้ยเลี้ยงวันละ 270 บาท คือข้าราชการตำรวจที่มียศพันตำรวจโท ขึ้นไป,3ผู้ที่มีสิทธิเบิกค่าเบี้ยเลี้ยงวันละ 270 บาท คือข้าราชการตำรวจที่มียศพันตำรวจเอกลงมา ,4ผู้ที่มีสิทธิเบิกค่าเบี้ยเลี้ยงวันละ 270 บาท คือข้าราชการตำรวจที่มียศตั้งแต่พลตำรวจตรีขึ้นไป ,1
29,"ระดับใดมีสิทธิเบิกค่าที่พักเหมาจ่ายในอัตราไม่เกิน 1,200 บาท",1ข้าราชการตำรวจที่มียศพันตำรวจเอก อัตราเงินเดือนพันตำรวจเอกพิเศษลงไป,2ข้าราชการตำรวจที่มียศพันตำรวจเอก อัตราเงินเดือนพันตำรวจเอกพิเศษขึ้นไป,3ข้าราชการตำรวจที่มียศพันตำรวจเอก อัตราเงินเดือนพันตำรวจเอกขึ้นไป,4ข้าราชการตำรวจที่มียศพันตำรวจโทขึ้นไป,2
30,สารวัตรฝ่ายอำนวยการได้รับอนุมัติให้เดินทางไปราชการจังหวัดใกล้เคียง มีสิทธิเบิกค่าที่พักเหมาจ่ายในอัตราไม่เกิน เท่าไร,1ไม่เกิน 700 บาท,2ไม่เกิน 800 บาท,3ไม่เกิน 900 บาท,"4ไม่เกิน 1,200 บาท",2
31,ผู้กำกับการฝ่ายอำนวยการได้รับอนุมัติให้เดินทางไปราชการจังหวัดใกล้เคียง มีสิทธิเบิกค่าที่พักเหมาจ่ายในอัตราไม่เกิน เท่าไร,"1ไม่เกิน 1,200 บาท",2ไม่เกิน 900 บาท,3ไม่เกิน 800 บาท,4ไม่เกิน 700 บาท,3
32,ข้อใดคือความหมายของ “หน่วยงานย่อย” ในระเบียบการเบิกจ่ายเงินจากคลัง การเก็บรักษาเงินและการนำเงินส่งคลัง พ.ศ.2551,1ส่วนราชการ หน่วยงานในกำกับของรัฐ องค์การมหาชน รัฐวิสาหกิจ ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,2กรุงเทพมหานคร เมืองพัทยา ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,3หน่วยงานขององค์กรที่จัดตั้งขึ้นตามบทบัญญัติของรัฐธรรมนูญ หรือหน่วยงานอื่นใดในลักษณะเดียวกัน ทั้งนี้ ต้องได้รับจัดสรรงบประมาณรายจ่ายและเบิกเงินจากกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,4ส่วนราชการซึ่งมิได้เบิกเงินกับกรมบัญชีกลางหรือสำนักงานคลังจังหวัด,4
