1,การมีส่วนร่วมของประชาชน ตรงกับคำภาษาอังกฤษว่าอะไร,1People Participant,2Public Participant,3Community Participant,4Social Participant,2
2,ข้อใดไม่ใช่รูปแบบการมีส่วนร่วมที่ดำเนินอยู่โดยทั่วไป,1การเป็นอาสาสมัคร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
3,รูปแบบการมีส่วนร่วมข้อใดเป็นเป้าหมายสูงสุดของการมีส่วนร่วมของประชาชน,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,4
4,“การประชาพิจารณ์” จัดเป็นรูปแบบการมีส่วนร่วมในข้อใด,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,3
5,กลยุทธ์การประชาสัมพันธ์โดยเน้น...............................เป็นแนวความคิดใหม่ที่มีรากฐานมาจากแนวคิดของระบอบประชาธิปไตย,1การโฆษณาทางเครือข่ายสังคมออนไลน์,2การสำรวจความต้องการของสังคม,3การมีส่วนร่วมของทุกภาคส่วน,4การมีส่วนร่วมของประชาชน,4
6,ข้อใดไม่ใช่รูปแบบของการประชุมรับฟังความคิดเห็น,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,4
7,การแจ้งให้ประชาชนทราบถึงรายละเอียดของโครงการที่จะดำเนินการ รวมทั้งผลกระทบที่จะเกิดขึ้นจัดเป็นรูปแบบการมีส่วนร่วมในข้อใด,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
8,ข้อใดเป็นเวทีในการเสนอข้อมูลอย่างเปิดเผย ไม่มีการปิดบัง ทั้งฝ่ายเจ้าของโครงการและฝ่ายผู้มีส่วนได้เสียจากโครงการ,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,3
9,ข้อใดคือการประชุมที่ต้องมีการเชิญผู้เชี่ยวชาญเฉพาะสาขาจากภายนอกมาช่วยอธิบายและให้ความคิดเห็นต่อโครงการ,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,2
10,"องค์การสหประชาชาติได้กำหนดความหมายของ “""การมีส่วนร่วม""” ว่าอย่างไร",1การเปิดโอกาสให้สมาชิกทุกคนในสังคมได้มีส่วนช่วยเหลือกันอย่างเต็มที่ต่อสังคมนั้นๆ,2การให้ประชาชนเข้ามามีส่วนเกี่ยวข้องในการดำเนินงานพัฒนา ร่วมคิด ร่วมตัดสินใจแก้ปัญหาต่างๆ,3การเปิดโอกาสให้บุคคลได้มีส่วนช่วยเหลือระหว่างกัน ร่วมวางแผน ร่วมตัดสินใจ ร่วมปฏิบัติงานและร่วมรับผิดชอบในเรื่องต่างๆ,4การที่ประชาชนจะต้องเข้าไปมีส่วนในการตัดสินใจระดับต่างๆ ทางการจัดการบริหาร และทางการเมือง เพื่อกำหนดความต้องการในชุมชนของตน,1
11,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การรับรู้ข่าวสาร” ตรงกับคำภาษาอังกฤษว่าอะไร,1Public Information,2Public Consultation,3Public Meeting,4Decision Making,1
12,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การปรึกษาหารือ” ตรงกับคำภาษาอังกฤษว่าอะไร,1Public Information,2Public Consultation,3Public Meeting,4Decision Making,2
13,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การประชุมรับฟังความคิดเห็น” ตรงกับคำภาษาอังกฤษว่าอะไร,1Public Information,2Public Consultation,3Public Meeting,4Decision Making,3
14,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การร่วมในการตัดสินใจ” ตรงกับคำภาษาอังกฤษว่าอะไร,1Public Information,2Public Consultation,3Public Meeting,4Decision Making,4
15,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การประชุมในระดับชุมชน” ตรงกับคำภาษาอังกฤษว่าอะไร,1Community Meeting,2Technical Hearing,3Public Hearing,4Public Meeting,1
16,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การประชุมรับฟังความคิดเห็นในเชิงวิชาการ” ตรงกับคำภาษาอังกฤษว่าอะไร,1Community Meeting,2Technical Hearing,3Public Hearing,4Public Meeting,2
17,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การประชาพิจารณ์” ตรงกับคำภาษาอังกฤษว่าอะไร,1Community Meeting,2Technical Hearing,3Public Hearing,4Public Meeting,3
18,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การร่วมในการตัดสินใจ” ตรงกับคำภาษาอังกฤษว่าอะไร,1Community Meeting,2Technical Hearing,3Public Hearing,4Public Meeting,1
19,ขั้นตอนแรกของ “การมีส่วนร่วม” คือข้อใด,1มีส่วนร่วมในการคิด ศึกษา และค้นคว้า หาปัญหาและสาเหตุของปัญหาของชุมชน,2มีส่วนร่วมในการวางนโยบาย หรือแผนงาน โครงการ กิจกรรม เพื่อลดและแก้ไขปัญหา,3มีส่วนร่วมในการตัดสินใจในการจัดหรือปรับปรุงระบบการบริหารทรัพยากรอย่างมีประสิทธิภาพ,4มีส่วนร่วมในการควบคุม ติดตาม และประเมินผลการทำงาน,1
20,ขั้นตอนสุดท้ายของ “การมีส่วนร่วม” คือข้อใด,1มีส่วนร่วมในการคิด ศึกษา และค้นคว้า หาปัญหาและสาเหตุของปัญหาของชุมชน,2มีส่วนร่วมในการวางนโยบาย หรือแผนงาน โครงการ กิจกรรม เพื่อลดและแก้ไขปัญหา,3มีส่วนร่วมในการตัดสินใจในการจัดหรือปรับปรุงระบบการบริหารทรัพยากรอย่างมีประสิทธิภาพ,4มีส่วนร่วมในการควบคุม ติดตาม และประเมินผลการทำงาน,4
21,การมีส่วนร่วมของประชาชน ข้อใดไม่ถูกต้อง,1เป็นการเปิดโอกาสให้มีส่วนร่วมในการคิด,2เป็นการเปิดโอกาสให้มีส่วนร่วมในการไม่ต้องรับผิดชอบ,3เป็นการเปิดโอกาสให้มีส่วนร่วมในการพิจารณา,4เป็นการเปิดโอกาสให้มีส่วนร่วมในการตัดสินใจ,2
22,รูปแบบการมีส่วนร่วมที่ดำเนินอยู่โดยทั่วไปข้อใดไม่ถูกต้อง,1การเรียนรู้ข้อข้อพิพาท,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
23,ข้อใด คือ รูปแบบการมีส่วนร่วมที่เป็นเป้าหมายสูงสุดของการมีส่วนร่วมของประชาชน,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,4
24,ข้อใด คือ การประชุมในระดับชุมชนที่จัดเป็นรูปแบบอย่างหนึ่งในการมีส่วนร่วม,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,3
25,กลยุทธ์การประชาสัมพันธ์ที่เป็นแนวความคิดใหม่ที่มีรากฐานมาจากแนวคิดของระบอบประชาธิปไตยโดยมีการมุ่งเน้นอะไรเป็นสำคัญ,1โดยมีการมุ่งเน้นอะไรเป็นสำคัญ,2การสำรวจความต้องการของสังคม,3การมีส่วนร่วมของทุกภาคส่วน,4การมีส่วนร่วมของประชาชน,4
26,รูปแบบของการประชุมรับฟังความคิดเห็นข้อใดไม่ถูกต้อง,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,4
27,ข้อใดที่เป็นการจัดการหารือระหว่างผู้ดำเนินการโครงการกับประชาชนที่เกี่ยวข้องและได้รับผลกระทบเพื่อให้เกิดความเข้าใจในโครงการและกิจกรรมมากขึ้น ,1การปรึกษาหารือ,2การรับรู้ข่าวสาร,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
28,การเสนอข้อมูลอย่างเปิดเผย ไม่มีการปิดบัง ทั้งฝ่ายเจ้าของโครงการและฝ่ายผู้มีส่วนได้เสีย ตรงกับข้อใด,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,3
29,การประชุมที่ต้องมีการเชิญผู้เชี่ยวชาญเฉพาะสาขาจากภายนอกมาช่วยอธิบายและให้ความคิดเห็นต่อโครงการ คือ ข้อใด,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,2
30,การกำหนดความหมายที่กว้างของการมีส่วนร่วมที่เกี่ยวข้องกับบุคคลทุกระดับทุกส่วนฯ ขึ้นมานั้นกำหนดขึ้นโดยหน่วยงานใด ,1องค์การสหประชาชาติ,2องค์การอนามัยโลก,3NGO,4UNESCO,1
31,ขั้นตอนของการมีส่วนร่วมของประชาชนมีจำนวนกี่ขั้นตอน,1 3 ขั้นตอน,2 4 ขั้นตอน,3 5 ขั้นตอน,4 6 ขั้นตอน,2
32,ข้อใดเป็นการสื่อสารทางขวาง ,1การสั่งการ ,2การสื่อสารจากผู้ใต้บังคับบัญชาไปยังผู้บังคับบัญชา ,3การแลกเปลี่ยนความคิดเห็นระหว่างแผนก ,4การสื่อสารจากผู้บังคับบัญชาไปยังผู้ใต้บังคับบัญชา ,3
33,ข้อใดคือหัวใจของการส่งเสริมการมีส่วนร่วม,1ประชาชนมีความรู้สึกเป็นเจ้าของ ,2ประชาชนได้เข้ามารับผิดชอบ ,3ประชาชนเข้าใจบทบาทหน้าที่ของตนเอง,4เพื่อให้การพัฒนามีความสมดุล,3
34,ข้อใดเรียงลำดับ การมีส่วนร่วมของประชาชน ได้ถูกต้องจากน้อยไปหามาก ,"1ประชาชนแสดงความคิดเห็น , ประชาชนรับรู้ข้อมูลข่าวสาร , ประชาชนมีโอกาสเข้าร่วมกระบวนการ , การร่วมตัดสินใจ ","2ประชาชนรับรู้ข้อมูลข่าวสาร ,ประชาชนปรึกษาหารือ, ประชาชนแสดงความคิดเห็น ,ประชาชนร่วมในการตัดสินใจ ","3ประชาชนรับรู้ข้อมูลข่าวสาร , ประชาชนแสดงความคิดเห็น , ประชาชนประเมินผล , ประชาชนมีโอกาสเข้าร่วมงานกับภาครัฐ","4ประชาชนมีโอกาสเข้าร่วมงานกับภาครัฐ,ประชาชนรับรู้ข้อมูลข่าวสาร , ประชาชนแสดงความคิดเห็น , ประชาชนมีโอกาสเข้าร่วมกระบวนการ ประชาชนร่วมประเมินผล ",2
35,การประชาพิจารณ์ เป็นรูปแบบของการมีส่วนร่วมในขั้นตอนใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),3
36,การจัดประชุมในชุมชนเพื่อให้ชุมชนรับทราบถึงผลกระทบที่อาจเกิดขึ้นจากการดำเนินการโครงการ เป็นรูปแบบของการมีส่วนร่วมในขั้นตอนใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),3
37,การให้ข้อมูลข่าวสารรายละเอียดของโครงการก่อนที่จะตัดสินใจดำเนินโครงการ เป็นรูปแบบของการมีส่วนร่วมในขั้นตอนใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),1
38,องค์ประกอบสำคัญที่จะมีบทบาทในการตัดสินใจในการดำเนินงานในกิจกรรมใดๆ ของประชาชน,1แกนนำของประชาชน,2คณะกรรมการที่เป็นผู้แทนประชาชนในพื้นที่,3ผู้แทนภาครัฐ เอกชนและประชาชนที่เกี่ยวข้อง,4ความคิดเห็นของนักวิชาการ,2
39,การสร้างกระบวนการมีส่วนร่วม สิ่งที่จำเป็นที่สุดในการดำเนินการคือข้อใด,1วิธี รูปแบบ การสื่อสาร ,2ข่าวสารจากหน่วยงานภาครัฐหรือเอกชน,3การกระตุ้นและสร้างแรงจูงใจ,4ความรู้ความเข้าใจของประชาชน,1
40,ข้อใดเป็นวัตถุประสงค์ของการประชาสัมพันธ์และการมีส่วนร่วมของประชาชนที่สำคัญที่สุด,1เพื่อให้หน่วยงานภาครัฐและประชาชนในท้องถิ่นมีส่วนร่วมในกิจกรรม,2เพื่อให้ผู้มีส่วนได้เสียร่วมรับทราบข้อมูลและแสดงความคิดเห็น,3ผู้ที่เกี่ยวข้องมีส่วนร่วมในการกำหนดทิศทางพัฒนาวางแผนโครงการ,4ก่อให้เกิดความรู้สึกเป็นเจ้าของและยินยอมปฏิบัติตามได้อย่างสมัครใจ,4
41,ข้อใดหมายถึง รูปแบบการสื่อสารจำแนกตามทิศทางการสื่อสาร,1การสื่อสารแบบเป็นทางการและไม่เป็นทางการ,2การสื่อสารจากผู้ใต้บังคับบัญชาไปยังผู้บังคับบัญชา ,3การสื่อสารแบบทางเดียวและแบบสองทาง,4การสื่อสารจากข้างบนลงล่าง ล่างขึ้นบนและแนวนอน,3
42,การรวมกลุ่ม ร่วมคิด ร่วมปฏิบัติการ และสื่อสารให้ภาครัฐรับทราบความต้องการของประชาชนเป็นรูปแบบการสื่อสารตามข้อใด,1การสื่อสารแบบเป็นทางการและไม่เป็นทางการ,2การสื่อสารจากผู้ใต้บังคับบัญชาไปยังผู้บังคับบัญชา ,3การสื่อสารแบบทางเดียวและแบบสองทาง,4การสื่อสารจากข้างล่างขึ้นบน,4
43,ข้อใดเป็นส่วนประกอบที่สำคัญต่อความสำเร็จในกระบวนการสื่อสาร ,1ภาษาที่ใช้ในการสื่อสาร,2การตระหนักรู้ในการรับรู้ข้อมูลข่าวสาร,3การสร้างตัวอย่างที่ดี,4ถูกทุกข้อ,4
44,การมีส่วนร่วมของประชาชน เป็นกระบวนการที่ผู้ใดต้องเกี่ยวข้องบ้าง,1ประชาชน,2ผู้มีส่วนได้เสีย,3ผู้มีส่วนเกี่ยวข้องภาครัฐเอกชน,4ถูกทุกข้อ,4
45,ข้อใดไม่ใช่ประโยชน์ที่ภาครัฐจะได้รับในการให้ประชาชนเข้ามามีส่วนร่วม,1ไม่ต้องการปฏิบัติตามกรอบของกฎหมาย,"2ช่วยให้การตัดสินใจมีความรอบคอบเป็นการ
เพิ่มคุณภาพการตัดสินใจ",3การยอมรับและร่วมมือจากประชาชนและชุมชนที่เกี่ยวข้อง,4สอดรับกับปัญหาและความต้องการของประชาชนมากยิ่งขึ้น,1
46,การจัดเวทีรับฟังความคิดเห็นประชาชน ข้อใดไม่ควรปฏิบัติ,1ต้องถือหลักธรรมาภิบาล,2สื่อสารผ่านข้อมูลพื้นฐานที่ถูกต้องในด้านบวก,"3รับฟังความ
คิดเห็นของประชาชนให้ทั่วถึง อย่างแท้จริง","4ข้อมูลที่
ประชาชนได้รับต้องชัดเจนและเข้าใจ เพื่อนำข้อเท็จจริงไปไตร่ตรอง",2
47,การรับฟังความคิดเห็นประชาชนแบบเทียมๆ หมายถึงข้อใด,1ให้อิสระประชาชนในการแสดงความคิดเห็น,2การตั้งเวทีของประชาชนขนานแท้,3การตั้งเวทีและเกณฑ์คนท้องถิ่นมาร่วมรับฟัง,4ถูกทุกข้อ,3
48,การสื่อสารโดยอาศัยสื่อมวลชน  เช่น การฟังวิทยุ หรือการชมโทรทัศน์ เหล่านี้ เป็นการสื่อสารในประเภทใด,1การสื่อสารแบบเป็นทางการ,2การสื่อสารแบบทางเดียว,3การสื่อสารแบบทางสองทาง,4การสื่อสารจากข้างบนลงล่าง ,2
49,การสื่อสารโดยอาศัยสื่อมวลชน  เช่น การฟังวิทยุ หรือการชมโทรทัศน์ เหมาะสมกับการมีส่วนร่วมในรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),1
50,การสื่อสารหรือการสื่อความหมายที่ผู้รับมีโอกาสตอบสนองมายังผู้ส่งได้ในทันที เป็นการสื่อสารในประเภทใด,1การสื่อสารแบบเป็นทางการ,2การสื่อสารแบบทางเดียว,3การสื่อสารแบบทางสองทาง,4การสื่อสารจากข้างบนลงล่าง ,3
51,การสื่อสารหรือการสื่อความหมายที่ผู้รับมีโอกาสตอบสนองมายังผู้ส่งได้ในทันที  เหมาะสมกับการมีส่วนร่วมในรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4ข้อ 2 และ 3 ถูก,4
52,การสื่อสารสาธารณะ (Public Communication) หมายถึงข้อใด,1มีวัตถุประสงค์เพื่อการแก้ปัญหาหรือการตัดสินใจในเรื่องใดเรื่องหนึ่ง,2เกี่ยวข้องกับคนกลุ่มใหญ่ๆ โดยมีรูปแบบหลักเป็นวิธีการพูดฝ่ายเดียวซึ่งทำให้มีปฏิกิริยาโต้ตอบน้อย,3เป็นการสื่อสารที่กระทำในองค์กรขนาดใหญ่,4เป็นการสื่อสารระหว่างบุคคลจำนวนสามคนขึ้นไป,2
53,เวทีสาธารณะ การพบปะแบบไม่เป็นทางการ มีคณะทำงานไปแลกเปลี่ยนข้อมูล การประชุมเชิงปฏิบัติการ เป็นเทคนิคการมีส่วนร่วมที่เหมาะสมกับรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),2
54,การไปสัมภาษณ์รายบุคคล การสนทนาเป็นกลุ่มย่อย เป็นเทคนิคการมีส่วนร่วมที่เหมาะสมกับรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),3
55,การแจกเอกสารข้อเท็จจริง น์ การสื่อสารผ่านหอกระจายข่าวชุมชน หรือการสื่อสารผ่านวิทยุกระจายเสียง เป็นเทคนิคการมีส่วนร่วมที่เหมาะสมกับรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),1
56,การจัดเวทีนำเสนอข้อมูล มีศูนย์ข้อมูลข่าวสาร การจัดสัมมนาวิชาการ การไปทัศนศึกษา เป็นเทคนิคการมีส่วนร่วมที่เหมาะสมกับรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),1
57,“การออกเสียงประชามติ”  ต่างจาก  “ประชาพิจารณ์” อย่างไร,1ประชามติจะต้องมีการลงคะแนนออกเสียงเพื่อหามติของประชาชนในเรื่องสำคัญนั้น ๆ,2ประชาพิจารณ์เป็นเพียงการรับฟังความคิดเห็นของประชาชน ที่จะได้รับผลกระทบในเรื่องนั้น ๆ ก่อนที่หน่วยงานของรัฐที่เกี่ยวข้องจะมีคำสั่งหรือดำเนินการใด ๆ ,3ไม่ต่างกัน เพราะเป็นรูปแบบการมีส่วนร่วมเหมือนกัน,4ข้อ 1 และ 2 ถูก,4
58,การจัดให้มีสายด่วน - สายตรง การแสดงความคิดเห็นผ่านเว็บไซต์ เป็นเทคนิคการมีส่วนร่วมที่เหมาะสมกับรูปแบบใด,1การรับรู้ข่าวสาร (Public Information),2การปรึกษาหารือ (Public Consultation),3การประชุมรับฟังความคิดเห็น (Public Meeting),4การร่วมในการตัดสินใจ(Decision Making),3
59,การเลือกใช้ เทคนิค วิธีการเข้าถึงการมีส่วนร่วม (sharing) ข้อใดกล่าวไว้ ถูกต้อง,1เลือกใช้ตามสภาพและความจำเป็น,2 ควรพิจารณาในภาวการณ์ที่แตกต่าง,3คำนึงถึงงบประมาณ,4ถูกทุกข้อ,4
60,สื่อสาธารณะกับการมีส่วนร่วมของประชาชน ข้อใดกล่าวถูกต้อง,1สื่อรัฐที่มีรัฐบาลหรือส่วนราชการเป็นเจ้าของ ภารกิจจึงมุ่งรับใช้หน่วยราชการ และรัฐบาลเป็นสำคัญ,2สื่อมิติใหม่ทางออนไลน์ช่วยให้ผู้คนสามารถสื่อสารทางตรงถึงกันได้มากขึ้น ประชาชนจึงไม่ใช่ผู้รับสารแต่เพียงด้านเดียวแต่ยังเป็นผู้ส่งสาร ,3สื่อสาธารณะจะต้องให้ความสำคัญต่อเสียงสะท้อนของผู้ชมมากกว่าคะแนนเรตติ้ง เชิงปริมาณ,4ถูกทุกข้อ,4