1,ข้อใดกล่าวถึงความหมายของการตัดสินใจได้อย่างถูกต้อง ,การเลือกทางดำเนินการที่เห็นว่าดีที่สุดทางใดทางหนึ่ง จากทางเลือกหลายๆ ทาง เพื่อให้บรรลุวัตถุประสงค์ที่ต้องการ ,การเลือกหนทางการดำเนินงานที่ได้ผลลัพท์ที่ดีสุดเป็นที่พอใจและยอมรับของทุกฝ่าย,การเลือกทางเลือกที่กำหนดไว้โดยผู้บริหารเพื่อให้บรรลุวัตถุประสงค์ที่ต้องการมากที่สุด ,การค้นหาหนทางในการแก้ไขปัญหาเพื่อให้เกิดข้อสรุปที่บรรลุวัตถุประสงค์อย่างมีประสิทธิภาพมากที่สุด ,4
2,ข้อใดไม่เกี่ยวข้องกับการตัดสินใจ ,ผลประโยชน์ที่จะได้รับจากการตัดสินใจ ,ความขัดแย้งที่เกิดจากการตัดสินใจ ,บุคคลที่มีอำนาจในการตัดสินใจ ,ข้อมูลที่ใช้ประกอบการตัดสินใจ ,2
3,การตัดสินใจแบบใดที่ต้องการความรวดเร็ว และมีประสิทธิภาพในการตัดสินใจ โดยเฉพาะการทำงานในภาคธุรกิจเอกชนที่มีผู้ประกอบการที่เป็นเจ้าของกิจการ,การตัดสินใจโดยกลุ่ม,การตัดสินใจโดยคณะกรรมการ,การตัดสินใจโดยทีมงาน,การตัดสินใจโดยบุคคลคนเดียว,4
4,ข้อใดหมายถึงการตัดสินใจที่มีแบบกำหนดไว้ล่วงหน้า เป็นการตัดสินใจเกี่ยวกับปัญหาที่เกิดขึ้นเป็นประจำ จึงมีมาตรฐานในการตัดสินใจเพื่อแก้ปัญหาอยู่แล้ว โดยวิธีการในการแก้ปัญหาที่ดีที่สุดจะถูกกำหนดไว้อย่างชัดเจน,การตัดสินใจแบบโครงสร้าง,การตัดสินใจแบบมีแบบแผนกำหนดไว้ ,การตัดสินใจแบบมาตรฐานการแก้ปัญหา ,การตัดสินใจแบบแก้ปัญหาที่เกิดขึ้นเป็นประจำ,1
5,การตัดสินใจแบบไม่มีแนวทางในการแก้ปัญหาแน่นอนเป็นปัญหาที่ไม่มีการระบุวิธีแก้ไว้อย่างชัดเจนว่าต้องทำอะไรบ้าง,การตัดสินใจแบบโครงสร้าง,การตัดสินใจแบบกึ่งโครงสร้าง,การตัดสินใจแบบแก้ปัญหาที่ไม่แน่นอน ,การตัดสินใจอย่างชัดเจน ,2
6,องค์ประกอบใดของการตัดสินใจที่ต้องให้ความสำคัญมากที่สุด ,บุคคลผู้ตัดสินใจ,ปัญหาในการตัดสินใจ,ทางเลือกในการตัดสินใจ ,ข้อมูลในการตัดสินใจ,4
7,สภาวะการตัดสินใจแบบใดที่ตัดสินใจสามารถทำได้ทันทีเป็นการตัดสินใจที่ง่ายที่สุด ,การตัดสินใจตามสถานการณ์ ,การตัดสินใจแบบมีทางเลือก ,การตัดสินใจแบบมีโครงสร้าง,การตัดสินใจแบบไม่มีโครงสร้าง ,3
8,การตัดสินใจของผู้บริหารมีความสำคัญกว่าการตัดสินใจของผู้ปฏิบัติงานเพราะเหตุใด ,มีผลกระทบต่อการปฏิบัติหน้าที่ของทุกคนในการดำเนินงาน,มีผลกระทบต่อสภาพแวดล้อมขององค์การ ,มีผลกระทบต่อแนวนโยบายของหน่วยงาน ,มีผลกระทบต่อรายได้และผลประโยชน์ของหน่วยงาน,1
9,เหตุใดการตัดสินใจจึงมีลักษณะเป็นกระบวนการ ,มีขั้นตอนก่อนหลังของการตัดสินใจ ,มีการกำหนดทางเลือก ,มีการจัดลำดับความสำคัญของทางเลือก ,มีการพิจารณาทางเลือก ,1
10,การตัดสินใจภายใต้สถานการณ์ที่เปลี่ยนแปลงตลอดเวลา ผู้ตัดสินใจไม่ทราบความน่าจะเป็นของผลลัพธ์ต่าง ๆ เราเรียกการตัดสินใจนี้ว่า,การตัดสินใจภายใต้สถานการณ์,การตัดสินใจโดยอาศัยความน่าจะเป็น,การตัดสินใจภายใต้สภาวะการณ์ที่ไม่แน่นอน ,การตัดสินใจภายใต้สภาวการณ์ปกติ ,3
11,ขั้นตอนในทฤษฎีการตัดสินใจ ขั้นตอนแรกคืออะไร,การวิเคราะห์ทางเลือก ,การพิจารณาสาเหตุของปัญหา,การค้นหาทางเลือก ,การหาข้อมูลเพื่อการตัดสินใจ ,2
12,การตัดสินใจโดยกำหนดความน่าจะเป็นในแต่ละทางเลือกต่าง ๆ แล้วนำมาคำนวณผลตอบแทนที่จะได้รับ (Payoff matrix)  เราเรียกว่าเป็นการตัดสินใจแบบใด ,การตัดสินใจแบบผลตอบแทนที่คาดหวัง   ,การตัดสินใจแบบการหาค่าความน่าจะเป็น ,การตัดสินใจในการใช้หลักสถิติในการคำนวณ ,การตัดสินใจโดยวิเคราะห์ทางเลือกแต่ละทางเลือก ,1
13,การตัดสินใจแบบแขนงการตัดสินใจ (Decision Tree) หรือแขนงต้นไม้ หมายถึงข้อใด  ,การตัดสินใจเป็นเทคนิควิธีในการตัดสินใจในการเลือกทางเลือกที่ดีที่สุด จาก หลายๆ ทางเลือก,การตัดสินใจเลือกทางเลือกจากหลายสาเหตุ โดยการวิเคราะห์ปัญหาทีละด้าน ,การตัดสินใจโดยใช้แนวคิดจากบุคคลหลายฝ่าย ,การตัดสินใจแบบมีส่วนร่วม ,1
14,การระดมสมอง brain storming หมายถึงข้อใด,การตัดสินใจโดยอาศัยการมีส่วนร่วม ,การตัดสินใจแบบใช้ความคิดเห็นของคนหลายฝ่าย,เทคนิคที่ช่วยกระตุ้นให้เกิดจินตนาการและก่อให้ความคิดที่กว้างขวาง,การตัดสินใจที่ทำให้เกิดผลลัพท์ได้หลายทาง ,3
15,การตัดสินใจแบบกึ่งโครงสร้าง (Semi structure) ประกอบด้วยข้อใด ,สามารถกำหนดเป็นสมการการตัดสินใจได้ ,สามารถเขียนเป็นแบบจำลองและข้อมูลเพื่อตัดสินใจได้ ,สามารถใช้หลักคณิตศาสตร์ในการคำนวณได้ ,สามารถใช้หลักเหตุผลในการตัดสินใจ ,2
16,การตัดสินใจโดยใช้กลุ่มเข้ามามีส่วนร่วม   ในรูปแบบกลุ่มควบคุมคุณภาพเป็นการตัดสินใจโดยกลุ่มคนขนาดเล็ก ในสถานที่เดียวกันและมีงาน ลักษณะเดียวกันมารวมตัวกันอย่างอิสระการเรียกว่าอะไร ,การตัดสินใจแบบมีส่วนร่วม ,การตัดสินใจโดยกลุ่ม ,การตัดสินใจแบบกลุ่มคุณภาพ ,การตัดสินใจกลุ่มเล็ก ,3
17,ข้อใดหมายถึงการตัดสินใจเลือกทางเลือกที่ทำให้บรรลุเป้าหมายหลายอย่างพร้อม ๆ กันเป็นกลยุทธ์การตัดสินใจที่ทำให้เกิดผลที่ดีสุดในหลาย ๆ เป้าหมาย,การตัดสินใจที่เหมาะสมที่สุด ,การตัดสินใจที่ดีที่สุด ,การตัดสินใจที่ได้รับการยอมรับ,การตัดสินใจตามเป้าหมาย ,1
18,ข้อใดเป็นอุปสรรคของการตัดสินใจมากที่สุด,ข้อมูลในการตัดสินใจไม่เพียงพอ,ระยะเวลาในการตัดสินใจไม่เพียงพอ,จำนวนผู้มีส่วนในการตัดสินใจไม่เพียงพอ ,ขาดความสามารถในการวิเคราะห์,1
19,ข้อใดคือประโยชน์ของการตัดสินใจโดยกลุ่ม,ทำให้แก้ปัญหาได้หลายอย่างในเวลาเดียวกัน ,ทำให้ได้รับความคิดเห็นจากบุคคลหลายฝ่าย ,ทำให้ได้รับแนวทางเลือกในการตัดสินใจจากผู้เกี่ยวข้อง ,ทำได้รับข้อมูลในการตัดสินใจ,2
20,ข้อใดเป็นข้อเสียของการตัดสินใจโดยกลุ่ม,ทำให้เสียเวลา ,ทำให้เกิดความขัดแย้ง ,ทำให้ความคิดเห็นแตกแยก ,ทำให้ขาดผู้มีอำนาจตัดสินใจ,1
21,การตัดสินใจตามทฤษฎีของโบโน หมวก 6 ใบ ประกอบด้วย หมวกสีแดง (Red Hat) หมายถึงอะไร หมายถึง    ,การตัดสินใจในภาวะเร่งด่วน ,การตัดสินใจภายใต้ปัญหาวิกฤติ ,การตัดสินใจด้วยความโกรธ โทสะ อารมณ์  ,การตัดสินใจโดยกลุ่ม ,3
22,การตัดสินใจที่ซ้ำ ๆ กันหลายครั้งเป็นเรื่องที่ทำเป็นประจำทุกวันมีแนวปฏิบัติที่กำหนดไว้อย่างชัดเจน เป็นระเบียบและข้อบังคับ มีการกำหนดวัตถุประสงค์มาตรฐาน  แนวปฏิบัติ  เรียกว่าอะไร,การตัดสินใจแบบ program decision making,การตัดสินใจแบบแนวปฏิบัติ  practical decision making ,การตัดสินใจแบบมีกฎระเบียบ rule decision making ,การตัดสินใจแบบมาตรฐาน standard decision making ,1
23,การตัดสินใจในเรื่องพิเศษนอกเหนือจากเหตุการณ์ปกติ  เป็นเรื่องที่มักมีความสลับซับซ้อน  เกิดขึ้นอย่างปัจจุบันทันด่วน  อยู่นอกขอบเขตของระเบียบข้อบังคับ  กฏเกณฑ์และนโยบายเรียกว่าการตัดสินใจแบบใด ,การตัดสินใจแบบ non program decision making,การตัดสินใจแบบ program decision making,การตัดสินใจนอกเหนือเหตุการณ์ปกติ routine decision making ,การตัดสินใจที่มีความสลับซับซ้อน complex decision making ,1
24,การตัดสินใจโดยใช้วิธีการสอบถามโดยวิธีเสาะหาความคิดเห็นของ ผู้เชี่ยวชาญเพื่อใช้เป็นแนวทางในการตัดสินใจเราเรียกว่าการตัดสินใจด้วยเทคนิคแบบใด ,เทคนิคการระดมสมอง ,เทคนิคการแสวงหาความรู้ ,เทคนิคเดลฟาย (Delphi technique),เทคนิคการคำนวนผลลัพท์ (Payoff technique),3
25,การตัดสินใจกำหนดนโยบายของหน่วยงานควรเป็นการตัดสินใจแบบใดจึงจะได้นโยบายได้รับการยอมรับมากที่สุด ,การมีส่วนร่วมของผู้บริหาร ,การตัดสินใจตามสถานการณ์ ,การตัดสินใจตามกฎระเบียบ ,การตัดสินใจตามนโยบาย ,1
26,บทบาทหน้าที่ของผู้มีอำนาจหน้าที่ในการตัดสินใจที่ดีคืออะไร,การตัดสินใจโดยทั่วไปจะใช้หลักเสียงส่วนใหญ่หรือเสียงข้างมากเป็นเกณฑ์,การตัดสินใจโดยมีการวิเคราะห์ปัญหา ค้นหาทางเลือก วิเคราะห์ทางเลือก ,การตัดสินใจตามที่ต้องการได้ตามอำนาจหน้าที่ ,การตัดสินใจโดยการหาข้อมูลให้มากที่สุด ,4
27,การตัดสินใจแบบคาดการณ์ในทางบวก  ความคิดเชิงบวก เป็นการมองโลกในแง่ดี การมองที่เป็นประโยชน์  เป็นการคิดที่ก่อให้เกิดผล หรือทำให้สิ่งต่าง ๆ เกิดขึ้นได้ การคิดเชิงบวกเป็นการเปิดโอกาสให้พัฒนาและสร้างสรรค์สิ่งใหม่ ๆ เป็นแบบใด ,หมวกสีแดง ,หมวกสีเหลือง ,หมวกสีดำ ,หมวกสีขาว ,2
28,การตัดสินใจเกี่ยวกับปัญหา ที่มีรูปแบบไม่ชัดเจนหรือมีความซับซ้อน จึงไม่มีแนวทางในการแก้ปัญหาแน่นอนเป็นปัญหาที่ไม่มี การระบุวิธีแก้ไว้อย่างชัดเจนว่าต้องทำอะไรบ้างเรียกว่าอะไร ,การตัดสินใจแบบสลับซับซ้อน ,การตัดสินใจแบบไม่มีแนวทาง ,การตัดสินใจแบบไม่เป็นโครงสร้าง  ,การตัดสินใจแบบไม่แน่นอน ,3
29,ข้อใดเป็นการตัดสินใจเชิงปริมาณ ,การตัดสินใจแบบแขนงต้นไม้ ,การตัดสินใจแบบมีส่วนร่วม,การตัดสินใจแบบระดมสมอง ,การตัดสินใจเชิงคุณภาพ  ,1
30,การตัดสินใจภายใต้ภาวการณ์ที่แน่นอน ได้แก่ข้อใด ,การลงโทษพนักงานผู้กระทำผิดระเบียบวินัย ,การตัดสินใจโดยกลุ่ม ,การมอบอำนาจการตัดสินใจ ,การตัดสินใจตามสถานการณ์ ,1
31,ระบบที่ถูกเชื่อมโยงกันระหว่างทรัพยากรสมองของมนุษย์ให้ทำงานร่วมกับความสามารถของคอมพิวเตอร์เพื่อช่วยในการตัดสินใจเรียกว่าอะไร   ,ระบบปฏิบัติการคอมพิวเตอร์ ,ระบบ excel ,ระบบ Microsoft ,ระบบ DSS ,4
32,กระบวนการตัดสินใจถือเป็นขั้นตอนหนึ่งอันนำไปสู่ภาระกิจใดของผู้บริหาร ,ภาระกิจการสั่งการและมอบหมายงาน ,ภาระกิจในการลงโทษหรือพิจารณาความดีความชอบ ,ภาระกิจในการวางแผนทางการบริหาร ,ภาระกิจในการควบคุมการทำงานของพนักงาน ,3
33,ข้อใดก่อให้เกิดผลเสียแก่องค์กรมาที่สุด ,ผู้บังคับบัญชาที่กล้าในการตัดสินใจและไม่กล้าที่จะยอมรับผลที่อาจเกิดขึ้นจากการตัดสินใจนั้น  ,ผู้บังคับบัญชาที่ไม่กล้าตัดสินใจ  และไม่กล้ารับผิดชอบต่อผลที่เกิดขึ้นจากการตัดสินใจของตน ,ผู้บริหารการตัดสินใจผิดพลาดทำให้มีผลกระทบต่อทุกคนในแผนก ,ผู้บริหารมอบหมายให้พนักงานมีส่วนในการตัดสินใจ ,2
34,การสร้างความร่วมมือกันระหว่างผู้บริหารหลายคนที่เห็นด้วยกับเป้าหมายและลำดับความสำคัญของปัญหาหมายถึงข้อใด ,การสร้างความร่วมมือกับหน่วยงานอื่นเพื่อให้เกิดอำนาจในการตัดสินใจ ,การสร้างความร่วมมือกับบุคคลทุกฝ่ายที่เกี่ยวข้องในการทำงาน ,การสร้างรวมมือทำความตกลงสำหรับการตัดสินใจที่สลับซับซ้อน,การสร้างความร่วมมือกับฝ่ายตรงข้ามในการตัดสินใจร่วมกัน ,3
35,ระบบการสนับสนุนการตัดสินใจ มีความจำเป็นและมีความสำคัญอย่างไร ,เป็นระบบที่ช่วยให้การใช้เทคโนโลยีสารสนเทศในการทำงานคล่องตัว ,เป็นระบบช่วยให้การทำงานมีความทันสมัยสร้างความน่าเชื่อถือ ,ช่วยผู้บริหารให้สามารถตัดสินใจได้ถูกต้องมากยิ่งขึ้น ตัดสินใจได้ง่ายขึ้น,ช่วยให้พนักงานและผู้บริหารทำงานร่วมกัน ,3
36,ระบบสนับสนุนการตัดสินใจ จำแนกตามผลลัพท์ในข้อใดที่ทำการคัดเลือกทางเลือกที่ดีที่สุดบนพื้นฐานการคำนวณทางคณิตศาสตร์และช่วยกำหนดแนวทางการแก้ปัญหาที่ดีที่สุด,ระบบคัดเลือกแนวทางการตัดสินใจที่ดีที่สุด (Optimization System),ระบบวิเคราะห์ข้อมูล (Data Analysis System),ระบบการให้คำแนะนำ (Suggestion System),ระบบสอบถามข้อมูล (File Drawer System),1
37,ข้อใดเป็นคุณสมบัติของระบบสารสนเทศเพื่อการตัดสินใจ ,สนับสนุนการตัดสินใจปัญหาเฉพาะหน้า ,สนับสนุนการตัดสินใจทั้งในสถานการณ์ของปัญหาแบบกึ่งโครงสร้างและไม่มีโครงสร้าง,สนับสนุนการตัดสินใจปัญหาด้านการวิเคราะห์ปัญหาที่สลับซับซ้อน ,สนับสนุนการตัดสินใจที่มีผู้เกี่ยวข้องหลายฝ่าย ,2
38,ระบบสอบถามข้อมูล (File Drawer System) เป็นระบบสืบค้นข้อมูลเพื่อประกอบการตัดสินใจได้แก่ข้อใด,ข้อมูลเกี่ยวกับเอกสารที่ใช้ในการประสานงาน ,ข้อมูลเกี่ยวกับจำนวนและตำแหน่งของบุคลากรทั้งหมดของหน่วยงาน  ,ข้อมูลเกี่ยวกับงบประมาณทางการเงินเพื่อการวางแผน ,ข้อมูลเกี่ยวกับทิศทางการทำงานของพนักงานและแผนกต่าง ๆ ,2
39,ระบบที่ทำการคัดเลือกทางเลือกที่ดีที่สุดบนพื้นฐานการคำนวณทางคณิตศาสตร์และช่วยกำหนดแนวทางการแก้ปัญหาที่ดีที่สุด เรียกว่าอะไร ,ระบบการตัดสินใจบนพื้นฐานของคณิตศาสตร์ ,ระบบการตัดสินใจตามแนวทางแก้ปัญหา ,ระบบการตัดสินใจที่ดีที่สุดบนพื้นฐานของข้อมูล,ระบบคัดเลือกแนวทางการตัดสินใจที่ดีที่สุด,4
40,ผู้บริหารอาจใช้เทคนิคในการตัดสินใจในเชิงปริมาณเข้าข่ายให้การตัดสินใจถูกต้องยิ่งขึ้นโดยการพิจารณาจากข้อมูลตัวเลขต่าง ๆ การคำนวณหาค่าตัวเลขที่ชี้บอกถึงการตัดสินใจได้เรียกว่า วิธีการเชิงปริมาณ  (quantitative  method)  วิธีนี้มีข้อเสียอย่างไร ,ข้อมูลที่ได้รับจะไม่เป็นไปตามสถานการณ์จริง,ข้อมูลบางอย่างไม่สามารถวัดเป็นตัวเลขได้ ,การคำนวณหาค่าตัวเลขอาจผิดพลาดได้ ,การตัดสินใจในเชิงปริมาณไม่สามารถใช้ได้จริง ,2
41,การตัดสินใจภายใต้ความขัดแย้งควรตัดสินใจอย่างไร ,ใช้การออกคำสั่งตามสายการบังคับบัญชา ,ใช้การมีส่วนร่วมในการตัดสินใจ ,ใช้การประนีประนอม ,ใช้ความเด็ดขาด ,3
42,การบริหารการตัดสินใจโดยกลุ่ม (Managing group decision making) มีลักษณะอย่างไร  ,ส่งเสริมการใช้หลักประชาธิปไตยโดยใช้มติเสียงข้างมากในการตัดสินใจ ,สนับสนุนสมาชิกในกลุ่มทุกคนได้แสดงความคิดเห็นกันอย่างหลากหลาย,ส่งเสริมความคิดเห็นของประธานการตัดสินใจให้สมาชิกคล้อยตาม ,ส่งเสริมให้สมาชิกในกลุ่มตัดสินใจกันด้วยการอภิปราย,2
43,การตัดสินใจภายใต้ความขัดแย้งกันในด้านการรู้ความเข้าใจในปัญหานั้นมุมมองในปัญหาแตกต่างกันของแต่ละคนเรียกว่าอะไร,Cognitive conflict ,Feeling Conflict ,Misunderstanding Conflict ,Differentiation Conflict ,1
44,Affective Conflict หมายถึงอะไร ,ความขัดแย้งที่เกิดจากอารมณ์ความโกรธ ความไม่พอใจต่าง ๆ ดังนั้นในการตัดสินใจ ,ความขัดแย้งที่เกิดจากความลำเอียงในการตัดสินใจ ,ความขัดแย้งที่เกิดจากความลำเอียงในการตัดสินใจ ,ความขัดแย้งในการตัดสินใจที่มีข้อมูลจำกัด ,1
45,การตัดสินใจโดยหลีกเลี่ยงการครอบงำจากคนใดคนหนึ่ง ส่งเสริมให้ได้ผลการตัดสินใจหลีกเลี่ยงการตัดสินใจตามความพอใจของกลุ่มใดกลุ่มหนึ่ง คำนึงถึงเป้าหมายในการตัดสินใจ หมายถึงองค์ประกอบด้านใดของการตัดสินใจโดยกลุ่มในข้อใด,ด้านการครอบงำ ,ด้านความเป็นผู้นำกลุ่ม ,ด้านความพอใจของกลุ่ม ,ด้านเป้าหมายในการตัดสินใจ ,2
46,การหลีกเลี่ยงความขัดแย้งกันอันทำให้เกิดวิกฤติในที่ประชุมหลีกเลี่ยงการวิพากษ์วิจารณ์ (avoid criticizing) ควรแสดงความคิดเห็นออกมา (exhaust ideas)  และผสมผสานความคิดเห็นของแต่ละคนเข้าด้วยกัน (combine ideas) คำกล่าวนี้เป็นความหมายของเรื่องใด ,การหลีกเลี่ยงความขัดแย้ง ,การหลีกเลี่ยงการวิพากษ์วิจารณ์ ,การแสดงความคิดเห็น ,การระดมสมอง ,4
47,การตัดสินใจของผู้บริหารที่จะต้องทำการเปรียบเทียบผลงานกับเกณฑ์และมาตรฐานก่อนและหลังการตัดสินใจว่ามีความแตกต่างกันหรือไม่จัดว่าเป็นกระบวนการขั้นตอนใดของการตัดสินใจ,ขั้นการเปรียบเทียบผลงาน ,ขั้นการติดตามผลการตัดสินใจ,ขั้นการกำหนดมาตรฐานการตัดสินใจ ,ขั้นการประเมินผลการปฏิบัติงาน ,2
48,การตัดสินใจโดยคำนวณผลตอบแทนที่คาดหวัง (Payoff matrix) ในการตัดสินใจหมายถึงอะไร  ,การตัดสินใจตามความคาดหวังที่ต้องการ ,การตัดสินใจโดยกำหนดผลตอบแทนที่ชัดเจน ,การตัดสินใจที่คำนวณและเลือกผลตอบแทนสูงสุด ,การตัดสินใจที่คำนึงถึงความคาดหวังของผู้เกี่ยวข้อง,3
49,การระดมสมอง (Brain Storming) เป็นการตัดสินใจแบบใด ,การตัดสินใจเชิงคุณภาพ ,การตัดสินใจเชิงปริมาณ ,การตัดสินใจเชิงวิเคราะห์ ,การตัดสินใจเชิงแลกเปลี่ยน ,1
50,การตัดสินใจโดยใช้เหตุผลให้เสนอข้อคิดเห็นของคนหลายฝ่ายอย่างแจ่มแจ้งและมีเหตุผล  ฟังปฏิกิริยาจากคนอื่นๆ ด้วยไม่เน้นการแพ้ชนะ แต่เน้นชนะร่วมใจอย่างมีหลักการเห็นพ้องต้องกันเช่นเดียวกัน เรียกว่าการตัดสินใจแบบใด ,การตัดสินใจโดยใช้หลักเหตุผล,การตัดสินใจโดยแสดงความคิดเห็น ,การติดสินใจแบบมติเอกฉันท์ ,การตัดสินใจแบบชนะ/ชนะ ,3
51,เทคนิคการตัดสินใจแบบใด ที่จะต้องใช้ผู้เชี่ยวชาญในการแสดงความคิดเห็นหลายรอบก่อนการตัดสินใจ ,การตัดสินใจแบบอาศัยความเชี่ยวชาญ ,การตัดสินใจแบบแสดงความคิดเห็นร่วม,การตัดสินใจแบบเดลฟาย ,การตัดสินใจแบบวิเคราะห์โดยผู้เชี่ยวชาญ ,3
52,การตัดสินในตามแนวทางทฤษฎีการตัดสินใจของโบโน หมายความว่าอะไร ,การมองปัญหาต่าง ๆ นั้นแม้ว่าเป็นเรื่องเดียวกัน ปัญหาเดียวกัน แต่มีมุมมองได้หลายลักษณะ, การตัดสินใจต้องมีการวิเคราะห์ปัญหา ค้นหาทางเลือก วิเคราะห์ทางเลือกก่อนทุกครั้ง ,การพิจารณาผู้เข้าร่วมในการตัดสินใจที่อาศัยการระดมสมองก่อนการตัดสินใจทุกครั้ง ,การกำหนดทฤษฎีการตัดสินใจไว้แล้วอย่างมีโครงสร้างชัดเจน ,1
53,การตัดสินใจเกี่ยวข้องกับการบริหารอย่างไร ,การตัดสินใจเกี่ยวข้องกับสถานการณ์,การตัดสินใจเกี่ยวข้องกับผู้ร่วมงาน,การตัดสินใจมีผลต่อความล้มเหลว,การตัดสินใจเป็นหน้าที่ของผู้บริหาร,4
54,ข้อมูลเกี่ยวกับ สภาวะแวดล้อมภายในและภายนอกองค์การเพื่อค้นหาปัจจัยต่างๆ ที่เป็นองค์ประกอบของปัญหาที่มี ระดับความรุนแรงของปัญหาข้อมูลที่เกี่ยวข้องกับปัญหา จัดอยู่ในขั้นตอนใดของการตัดสินใจ,การวิเคราะห์ข้อมูลเพื่อการตัดสินใจ ,การวิเคราะห์สภาพแวดล้อมภายในและภายนอก ,การกำหนดทางเลือกต่างๆ ที่จะใช้แก้ปัญหา ,การวิเคราะห์ความรุนแรงของปัญหา ,3
55,การตัดสินใจในทางเลือกหนึ่ง ย่อมส่งผลกระทบต่อปัญหาอื่นๆ ตามมาได้ ดังนั้นควรตัดสินใจอย่างรอบคอบ ข้อความนี้จัดอยู่ในขั้นตอนใดของการตัดสินใจ,ขั้นตอนการประเมินผลของทางเลือก,ขั้นตอนการตัดสินใจเลือกทางเลือก ,ขั้นตอนการวิเคราะห์ผลกระทบของทางเลือก ,ขั้นตอนการตัดสินใจ,1
56,ปัจจัยที่มีผลกระทบต่อพฤติกรรมการตัดสินใจของผู้บริหารที่ทำให้พฤติกรรมการตัดสินใจผิดพลาดได้แก่ข้อใด ,การรับรู้ปัญหาไม่ถ่องแท้ ,การใช้อารมณ์ความรู้สึกตัดสินใจ,ความเชื่อ ประสบการณ์ ความลำเอียง,ความต้องการที่จะให้เป็นอย่างนั้น,3
57,ข้อใดเป็นการตัดสินใจอย่างมีหลักการตามแนวคิดทางวิชาการ,การศึกษาอบรมในหลักสูตรการตัดสินใจ ,การใช้ทฤษฎีการตัดสินใจเป็นแนวทางในการตัดสินใจ ,การปรึกษาหารือหรือสอบถามนักวิชาการในการตัดสินใจ ,การแสวงหาข้อมูลที่เพียงพอเป็นปัจจุบันและเชื่อถือได้ในการตัดสินใจ  ,4
58,ข้อใดไม่ใช่กลยุทธ์การตัดสินใจของผู้บริหาร    ,ทำความเข้าใจในสถานการณ์ปัจจุบัน  ศึกษาสภาพความเป็นจริง ปัจจัยต่าง ๆ ที่เกี่ยวข้อง,การตัดสินใจเลือกแนวทางที่น่าจะเหมาะสมที่สุด  เป็นที่ยอมรับมากที่สุด  มีความเป็นไปได้มากที่สุดอันจะนำไปสู่ความร่วมมือ,แสวงหาทางเลือกหลาย ๆ ทางในการแก้ปัญหา  การค้นหาปัญหาตามแนวทางต่าง ๆ  ที่มีมากกว่าหนึ่งหรือสองแนวทาง,คำนึงถึงเพื่อนร่วมงานและผู้บริหารด้วยกันมีมติเห็นชอบเป็นเอกฉันท์ ตัดสินใจโดยคำนึงถึงเสียงข้างมาก ,4
59,การตัดสินใจเลือกทางเลือกที่ดีที่สุด เป็นไปได้มากที่สุด ให้ผลในทางบวกมากที่สุด และให้ผลในทางลบน้อยที่สุดเรียกว่าการตัดสินใจแบบใด ,การตัดสินใจเลือกทางเลือกที่ดีที่สุด ,การตัดสินใจเลือกทางเลือกที่เป็นไปได้มากที่สุด ,การตัดสินใจที่ได้ประโยชน์สูงสุด ,การตัดสินใจที่ดีที่สุด ,3
60,การตัดสินใจรูปแบบใหม่ ที่เป็นการเลือกทางเลือกที่ทำให้บรรลุเป้าหมายหลายอย่างพร้อม ๆ กันเป็นกลยุทธ์การตัดสินใจที่ทำให้เกิดผลที่ดีสุดในหลาย ๆ เป้าหมาย (The best balance among multiple goals),การตัดสินใจที่ได้ประโยชน์สูงสุด (Maximize),การตัดสินใจที่ทำให้เกิดความพอใจสูงสุด  (Satisfice),การตัดสินใจเลือกทางเลือกที่มีความเหมาะสมที่สุด   (Optimizing),การตัดสินใจในการบริหารที่ถูกต้องที่สุดและดีที่สุด,3
